,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2009,阪　神,66,72,62,12,11,3,0,0,14,1,3,1,7,0,3,0,7,0,0.177,0.226,0.215
1,2010,阪　神,62,50,44,19,12,0,1,0,14,4,8,3,1,1,4,0,8,1,0.273,0.318,0.327
2,2011,阪　神,47,62,51,13,12,1,1,0,15,6,5,1,5,3,3,0,6,0,0.235,0.294,0.263
3,2012,阪　神,128,349,311,29,80,13,3,0,99,26,17,8,19,0,15,4,46,3,0.257,0.318,0.3
4,2013,阪　神,104,454,384,51,105,12,3,0,123,21,19,9,35,0,27,8,40,2,0.273,0.32,0.33399999999999996
5,2014,阪　神,121,481,398,54,105,17,1,1,127,24,11,7,50,1,28,4,52,7,0.264,0.319,0.318
6,2015,阪　神,123,293,249,25,56,5,0,0,61,12,5,7,28,0,12,4,35,2,0.225,0.245,0.272
7,2016,阪　神,111,259,229,24,53,16,1,1,74,20,3,2,15,2,12,1,53,9,0.231,0.32299999999999995,0.27
8,2017,阪　神,100,252,232,25,65,6,0,1,74,16,2,3,1,1,18,0,37,5,0.28,0.319,0.331
9,2018,横浜DeNA,113,435,394,54,96,24,3,2,132,27,10,6,9,3,24,5,73,0,0.244,0.335,0.293
10,2019,横浜DeNA,137,490,438,42,104,17,2,0,125,37,3,1,10,2,34,6,75,7,0.237,0.285,0.3
11,2020,横浜DeNA,85,225,199,23,56,7,1,4,77,23,3,3,3,3,20,0,28,8,0.281,0.387,0.342
12,2021,横浜DeNA,106,294,270,18,68,13,0,2,87,26,1,2,4,1,19,0,44,7,0.252,0.322,0.3
13,nan,通　算,1303,3716,3261,389,823,134,16,11,1022,243,90,53,187,17,219,32,504,51,0.252,0.313,0.304
