,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2009,横　浜,22,44,39,4,5,1,0,1,9,2,1,0,4,0,1,0,10,0,0.128,0.231,0.15
1,2010,横　浜,5,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0.0,0.0,0.0
2,2012,横浜DeNA,80,252,223,17,40,5,3,2,57,11,5,8,7,0,21,1,61,4,0.179,0.256,0.253
3,2013,横浜DeNA,77,287,254,59,88,17,4,16,161,44,7,4,4,0,27,2,60,6,0.34600000000000003,0.634,0.413
4,2014,横浜DeNA,142,609,525,76,138,26,9,16,230,72,39,8,3,4,70,7,135,12,0.263,0.43799999999999994,0.355
5,2015,横浜DeNA,134,578,520,70,143,35,2,13,221,66,28,13,2,2,54,0,132,4,0.275,0.425,0.342
6,2016,横浜DeNA,107,450,396,69,108,20,4,18,190,56,26,7,1,0,49,4,110,2,0.273,0.48,0.359
7,2017,横浜DeNA,137,578,511,83,124,27,2,21,218,60,21,3,0,2,62,3,157,10,0.243,0.42700000000000005,0.327
8,2018,横浜DeNA,41,137,127,21,34,8,0,8,66,18,5,2,0,0,8,2,21,1,0.268,0.52,0.321
9,2019,横浜DeNA,41,110,93,13,20,5,0,5,40,15,3,0,1,0,16,0,20,1,0.215,0.43,0.33
10,2020,横浜DeNA,109,482,433,88,140,29,1,19,228,53,14,8,1,2,45,1,85,4,0.32299999999999995,0.527,0.387
11,nan,通　算,895,3531,3125,500,840,173,25,119,1420,397,149,54,23,10,353,20,794,44,0.26899999999999996,0.45399999999999996,0.34600000000000003
