,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2011,中　日,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,8.2,9.0,2.0,3.0,0.0,7.0,0.0,0.0,4.0,4.0,4.15
1,2012,中　日,33.0,4.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,1.0,167.0,41.2,33.0,1.0,10.0,1.0,31.0,2.0,1.0,15.0,14.0,3.02
2,2013,中　日,58.0,2.0,2.0,0.0,10.0,12.0,0.0,0.0,0.0,0.5,306.0,70,70.0,7.0,29.0,1.0,50.0,2.0,0.0,33.0,29.0,3.73
3,2014,中　日,15.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,101.0,25,18.0,2.0,9.0,2.0,18.0,0.0,0.0,10.0,10.0,3.6
4,2015,中　日,8.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,120.0,27.1,31.0,2.0,12.0,0.0,10.0,2.0,0.0,14.0,12.0,3.95
5,2016,中　日,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,5.1,9.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,2.0,3.38
6,2018,横浜DeNA,20.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,101.0,23.2,20.0,4.0,12.0,2.0,15.0,1.0,0.0,17.0,17.0,6.46
7,2019,横浜DeNA,31.0,1.0,2.0,0.0,3.0,4.0,0.0,0.0,0.0,0.33299999999999996,159.0,38,31.0,4.0,18.0,1.0,28.0,1.0,0.0,17.0,14.0,3.32
8,2020,横浜DeNA,21.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,31.1,42.0,3.0,18.0,1.0,22.0,1.0,0.0,29.0,26.0,7.47
9,nan,通　算,197.0,10.0,9.0,0.0,21.0,29.0,0.0,0.0,0.0,0.526,1173.0,271,263.0,25.0,114.0,8.0,184.0,9.0,1.0,142.0,128.0,4.25
