,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2006,福岡ソフトバンク,62.0,5.0,3.0,1.0,26.0,31.0,0.0,0.0,0.0,0.625,270.0,65.2,51.0,0.0,21.0,6.0,65.0,0.0,0.0,20.0,19.0,2.6
1,2007,福岡ソフトバンク,36.0,1.0,2.0,0.0,7.0,8.0,0.0,0.0,0.0,0.33299999999999996,146.0,31.1,39.0,3.0,16.0,1.0,25.0,3.0,0.0,19.0,17.0,4.88
2,2008,福岡ソフトバンク,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,8,7.0,0.0,1.0,1.0,4.0,0.0,0.0,4.0,3.0,3.38
3,2009,福岡ソフトバンク,38.0,5.0,8.0,0.0,2.0,2.0,0.0,0.0,0.0,0.385,434.0,101.2,98.0,10.0,38.0,4.0,82.0,5.0,0.0,57.0,52.0,4.6
4,2010,福岡ソフトバンク,32.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.33299999999999996,236.0,54,56.0,1.0,21.0,3.0,57.0,3.0,0.0,29.0,27.0,4.5
5,2011,福岡ソフトバンク,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,42.0,8.1,10.0,1.0,5.0,2.0,8.0,1.0,0.0,9.0,9.0,9.72
6,2012,福岡ソフトバンク,39.0,1.0,0.0,0.0,8.0,9.0,0.0,0.0,0.0,1.0,175.0,45.1,36.0,0.0,9.0,0.0,34.0,1.0,0.0,8.0,6.0,1.19
7,2013,福岡ソフトバンク,32.0,4.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,1.0,121.0,28.2,29.0,0.0,12.0,1.0,15.0,3.0,0.0,9.0,8.0,2.51
8,2014,北海道日本ハム,9.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,57.0,12,18.0,0.0,4.0,0.0,8.0,0.0,0.0,8.0,7.0,5.25
9,2015,北海道日本ハム,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,7.2,11.0,1.0,2.0,0.0,2.0,0.0,0.0,4.0,4.0,4.7
10,2016,北海道日本ハム,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.2,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,27.0
11,2016,横浜DeNA,9.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,31.0,8,7.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,1.0,1.13
12,2017,横浜DeNA,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,23.0,4.1,6.0,0.0,4.0,1.0,3.0,0.0,0.0,2.0,2.0,4.15
13,2018,横浜DeNA,15.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,67.0,14.2,15.0,1.0,5.0,2.0,9.0,0.0,0.0,10.0,10.0,6.14
14,2019,横浜DeNA,32.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,126.0,29,27.0,2.0,15.0,0.0,23.0,2.0,0.0,6.0,6.0,1.86
15,2020,横浜DeNA,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,1.2,4.0,0.0,3.0,0.0,3.0,0.0,0.0,4.0,4.0,21.6
16,nan,通　算,337.0,22.0,16.0,1.0,57.0,73.0,0.0,0.0,0.0,0.579,1810.0,421,416.0,19.0,158.0,21.0,342.0,18.0,0.0,193.0,177.0,3.78
