,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2014,横浜DeNA,10,14,11,1,3,0,1,0,5,3,0,0,1,0,2,0,2,0,0.273,0.455,0.385
1,2015,横浜DeNA,74,208,186,18,44,8,1,5,69,26,0,0,3,2,12,5,46,2,0.237,0.371,0.298
2,2016,横浜DeNA,11,17,15,2,5,1,0,0,6,3,0,0,0,0,0,2,2,1,0.33299999999999996,0.4,0.41200000000000003
3,2017,横浜DeNA,52,135,121,14,30,3,1,3,44,12,0,0,4,0,4,6,35,3,0.248,0.364,0.305
4,2018,横浜DeNA,91,230,209,10,37,7,0,5,59,25,0,0,6,1,6,8,56,9,0.177,0.282,0.228
5,2019,横浜DeNA,64,130,114,13,24,4,1,2,36,12,0,0,5,0,7,4,23,5,0.21100000000000002,0.316,0.28
6,2020,横浜DeNA,41,60,55,2,18,3,0,0,21,8,0,0,0,0,4,1,14,1,0.327,0.382,0.38299999999999995
7,2021,横浜DeNA,36,80,74,1,14,4,0,0,18,7,0,0,0,0,4,2,24,1,0.18899999999999997,0.243,0.25
8,2022,横浜DeNA,93,262,244,15,50,7,0,5,72,30,0,1,5,2,6,5,54,10,0.205,0.295,0.237
9,nan,通　算,472,1136,1029,76,225,37,4,20,330,126,0,1,24,5,45,33,256,32,0.21899999999999997,0.321,0.272
