,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2008,オリックス,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
1,2010,オリックス,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
2,2011,オリックス,66,188,160,15,25,7,0,2,38,11,3,2,14,1,11,2,57,0,0.156,0.23800000000000002,0.218
3,2012,オリックス,66,197,176,11,36,9,0,0,45,10,0,0,12,4,5,0,48,2,0.205,0.256,0.222
4,2013,オリックス,137,475,410,36,117,20,2,3,150,40,4,0,35,3,24,3,84,10,0.285,0.366,0.327
5,2014,オリックス,137,429,358,37,92,16,1,3,119,48,0,2,39,3,24,5,80,2,0.257,0.332,0.31
6,2015,オリックス,104,290,247,20,67,9,1,1,81,28,0,1,11,2,29,1,53,4,0.271,0.32799999999999996,0.348
7,2016,オリックス,80,203,187,18,45,7,0,3,61,15,1,0,12,0,3,1,36,6,0.24100000000000002,0.326,0.257
8,2017,オリックス,103,239,196,21,37,9,2,5,65,23,0,0,22,1,18,2,47,2,0.18899999999999997,0.332,0.263
9,2018,オリックス,7,16,13,0,0,0,0,0,0,0,0,0,1,0,2,0,3,1,0.0,0.0,0.133
10,2018,横浜DeNA,47,151,128,12,25,5,0,1,33,11,1,1,0,2,18,3,29,5,0.195,0.258,0.305
11,2019,横浜DeNA,84,301,256,30,65,8,0,8,97,27,5,5,3,2,37,3,45,4,0.254,0.379,0.35200000000000004
12,2020,横浜DeNA,30,63,51,5,11,3,1,0,16,6,0,0,1,0,10,1,15,2,0.21600000000000003,0.314,0.355
13,2021,横浜DeNA,53,192,160,14,34,6,0,2,46,13,1,1,12,1,17,2,43,3,0.213,0.28800000000000003,0.294
14,2022,横浜DeNA,40,103,94,9,26,7,0,0,33,8,0,0,0,0,8,1,23,3,0.27699999999999997,0.35100000000000003,0.34
15,nan,通　算,957,2851,2440,228,580,106,7,28,784,240,15,12,162,19,206,24,564,44,0.23800000000000002,0.321,0.301
