,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2006,横　浜,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0
1,2007,横　浜,19,27,24,5,3,0,0,0,3,1,1,0,1,0,2,0,6,0,0.125,0.125,0.192
2,2008,横　浜,83,273,259,24,63,4,5,1,80,13,10,5,6,1,6,1,60,5,0.243,0.309,0.262
3,2009,横　浜,134,495,463,38,112,15,3,2,139,24,19,4,15,1,13,3,98,8,0.242,0.3,0.267
4,2010,横　浜,131,584,521,69,153,23,6,0,188,18,36,13,38,1,21,3,91,6,0.294,0.361,0.324
5,2011,横　浜,125,530,466,49,121,11,1,0,134,22,12,7,32,0,30,2,95,8,0.26,0.28800000000000003,0.307
6,2012,横浜DeNA,80,304,263,31,75,10,1,1,90,14,7,6,13,1,24,3,49,3,0.285,0.342,0.35100000000000003
7,2013,横浜DeNA,119,523,459,75,126,12,4,5,161,41,5,2,5,0,51,8,76,6,0.275,0.35100000000000003,0.35700000000000004
8,2014,横浜DeNA,138,539,483,66,120,16,5,7,167,36,9,3,16,0,32,8,98,9,0.248,0.34600000000000003,0.306
9,2015,横浜DeNA,89,375,343,43,89,8,1,1,102,18,6,3,9,0,16,7,82,2,0.259,0.297,0.306
10,2016,横浜DeNA,95,329,297,35,62,8,2,2,80,14,6,4,11,1,18,2,67,3,0.209,0.26899999999999996,0.258
11,2017,横浜DeNA,63,192,167,18,41,7,0,2,54,11,1,1,6,3,12,4,41,4,0.24600000000000002,0.32299999999999995,0.306
12,2018,横浜DeNA,41,91,74,10,17,1,0,0,18,7,5,3,4,2,11,0,19,1,0.23,0.243,0.322
13,2019,横浜DeNA,50,113,101,14,21,3,1,2,32,5,1,3,6,0,5,1,34,1,0.20800000000000002,0.317,0.252
14,nan,通　算,1169,4377,3922,477,1003,118,29,23,1248,224,118,54,162,10,241,42,818,56,0.256,0.318,0.305
