,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2009,東北楽天,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,5,10.0,0.0,1.0,0.0,2.0,0.0,0.0,5.0,5.0,9.0
1,2010,東北楽天,12.0,0.0,1.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,58.0,12.2,15.0,2.0,5.0,0.0,11.0,3.0,0.0,8.0,7.0,4.97
2,2012,東北楽天,16.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.615,414.0,103.1,87.0,4.0,22.0,5.0,79.0,4.0,0.0,30.0,29.0,2.53
3,2013,東北楽天,11.0,3.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.429,247.0,59,63.0,6.0,19.0,0.0,45.0,1.0,0.0,31.0,29.0,4.42
4,2014,東北楽天,25.0,8.0,13.0,0.0,0.0,0.0,1.0,1.0,0.0,0.381,662.0,154.1,160.0,11.0,46.0,4.0,99.0,3.0,0.0,70.0,65.0,3.79
5,2015,東北楽天,14.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41700000000000004,332.0,76.2,74.0,7.0,29.0,0.0,56.0,1.0,0.0,41.0,39.0,4.58
6,2016,東北楽天,13.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,306.0,72,72.0,2.0,22.0,3.0,48.0,0.0,0.0,33.0,31.0,3.88
7,2017,東北楽天,19.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,424.0,103,99.0,11.0,27.0,1.0,74.0,2.0,1.0,51.0,48.0,4.19
8,2018,東北楽天,23.0,4.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.308,508.0,117.2,120.0,12.0,46.0,7.0,99.0,3.0,0.0,55.0,53.0,4.05
9,2019,東北楽天,27.0,9.0,6.0,0.0,2.0,3.0,0.0,0.0,0.0,0.6,518.0,117.1,119.0,14.0,57.0,0.0,84.0,1.0,0.0,59.0,54.0,4.14
10,2020,東北楽天,19.0,1.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.25,170.0,38.1,43.0,6.0,15.0,3.0,26.0,2.0,0.0,22.0,21.0,4.93
11,2022,東北楽天,17.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,371.0,90,86.0,10.0,24.0,3.0,53.0,0.0,0.0,36.0,34.0,3.4
12,nan,通　算,198.0,55.0,67.0,2.0,10.0,11.0,2.0,1.0,0.0,0.451,4035.0,949.1,948.0,85.0,313.0,26.0,676.0,20.0,1.0,441.0,415.0,3.93
