,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2011,東北楽天,24.0,9.0,9.0,0.0,0.0,0.0,4.0,0.0,1.0,0.5,638.0,154.2,144.0,14.0,34.0,2.0,113.0,4.0,0.0,53.0,49.0,2.85
1,2012,東北楽天,19.0,6.0,10.0,0.0,0.0,0.0,2.0,1.0,1.0,0.375,450.0,106.2,102.0,9.0,33.0,4.0,67.0,3.0,0.0,45.0,44.0,3.71
2,2014,東北楽天,21.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5329999999999999,501.0,114.2,135.0,15.0,27.0,3.0,78.0,3.0,0.0,68.0,60.0,4.71
3,2015,東北楽天,16.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,392.0,96,87.0,14.0,15.0,3.0,78.0,4.0,0.0,42.0,38.0,3.56
4,2016,東北楽天,24.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444,610.0,148,145.0,14.0,37.0,3.0,111.0,0.0,0.0,67.0,64.0,3.89
5,2017,東北楽天,8.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,183.0,43.1,42.0,5.0,12.0,0.0,30.0,0.0,0.0,19.0,19.0,3.95
6,2018,東北楽天,11.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.4,278.0,68.1,71.0,8.0,8.0,2.0,53.0,0.0,0.0,30.0,27.0,3.56
7,2019,東北楽天,9.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,197.0,51.1,42.0,6.0,9.0,0.0,47.0,1.0,0.0,18.0,18.0,3.16
8,2020,東北楽天,16.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33299999999999996,350.0,84.1,88.0,10.0,20.0,1.0,63.0,1.0,0.0,45.0,45.0,4.8
9,nan,通　算,148.0,46.0,56.0,0.0,0.0,0.0,7.0,1.0,3.0,0.451,3599.0,867.1,856.0,95.0,195.0,18.0,640.0,16.0,0.0,387.0,364.0,3.78
