,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2007,東北楽天,28.0,11.0,7.0,0.0,0.0,0.0,4.0,1.0,0.0,0.611,800.0,186.1,183.0,17.0,68.0,7.0,196.0,10.0,1.0,83.0,79.0,3.82
1,2008,東北楽天,25.0,9.0,7.0,1.0,0.0,0.0,5.0,2.0,1.0,0.563,726.0,172.2,171.0,9.0,54.0,2.0,159.0,6.0,0.0,71.0,67.0,3.49
2,2009,東北楽天,25.0,15.0,6.0,1.0,0.0,0.0,6.0,3.0,0.0,0.7140000000000001,771.0,189.2,170.0,13.0,43.0,7.0,171.0,3.0,0.0,51.0,49.0,2.33
3,2010,東北楽天,20.0,11.0,6.0,0.0,0.0,0.0,8.0,1.0,2.0,0.647,643.0,155,159.0,9.0,32.0,5.0,119.0,1.0,0.0,47.0,43.0,2.5
4,2011,東北楽天,27.0,19.0,5.0,0.0,0.0,0.0,14.0,6.0,4.0,0.792,866.0,226.1,171.0,8.0,27.0,5.0,241.0,7.0,0.0,35.0,32.0,1.27
5,2012,東北楽天,22.0,10.0,4.0,0.0,0.0,0.0,8.0,3.0,4.0,0.7140000000000001,696.0,173,160.0,4.0,19.0,2.0,169.0,4.0,0.0,45.0,36.0,1.87
6,2013,東北楽天,28.0,24.0,0.0,1.0,0.0,0.0,8.0,2.0,1.0,1.0,822.0,212,168.0,6.0,32.0,3.0,183.0,9.0,0.0,35.0,30.0,1.27
7,2021,東北楽天,23.0,4.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.308,624.0,155.2,131.0,17.0,29.0,5.0,126.0,6.0,1.0,54.0,52.0,3.01
8,2022,東北楽天,25.0,9.0,12.0,0.0,0.0,0.0,1.0,1.0,0.0,0.429,668.0,163,160.0,16.0,30.0,4.0,126.0,4.0,0.0,65.0,60.0,3.31
9,nan,通　算,223.0,112.0,56.0,3.0,0.0,0.0,55.0,19.0,12.0,0.667,6616.0,1633.2,1473.0,99.0,334.0,40.0,1490.0,50.0,2.0,486.0,448.0,2.47
