,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2005,横　浜,12,9,9,1,1,0,0,0,1,1,0,0,0,0,0,0,4,0,0.111,0.111,0.111
1,2006,横　浜,65,147,133,13,27,2,0,0,29,5,3,1,9,1,3,1,13,2,0.203,0.218,0.225
2,2007,横　浜,42,89,76,11,19,5,0,0,24,2,1,1,8,0,4,1,8,0,0.25,0.316,0.29600000000000004
3,2008,横　浜,46,120,108,11,26,5,0,1,34,6,1,1,7,1,2,2,13,1,0.24100000000000002,0.315,0.265
4,2009,横　浜,120,381,346,44,93,7,5,4,122,20,6,2,24,3,7,1,34,4,0.26899999999999996,0.353,0.28300000000000003
5,2010,横　浜,106,220,201,21,62,8,0,1,73,15,2,2,11,0,6,2,33,2,0.308,0.363,0.335
6,2011,横　浜,96,208,188,16,57,8,1,1,70,15,0,0,3,0,10,7,20,3,0.303,0.37200000000000005,0.361
7,2012,横浜DeNA,46,126,111,7,27,3,1,0,32,7,1,1,5,1,8,1,9,2,0.243,0.28800000000000003,0.298
8,2012,東北楽天,63,188,172,17,53,8,2,0,65,15,5,2,11,1,4,0,10,4,0.308,0.37799999999999995,0.322
9,2013,東北楽天,128,536,466,48,128,17,2,1,152,48,3,3,33,4,21,12,43,7,0.275,0.326,0.32
10,2014,東北楽天,144,579,517,46,139,15,2,2,164,36,3,5,41,2,16,3,55,12,0.26899999999999996,0.317,0.294
11,2015,東北楽天,111,451,392,38,106,14,1,5,137,43,8,3,16,7,28,8,30,3,0.27,0.349,0.326
12,2016,東北楽天,120,449,408,27,108,13,5,0,131,46,1,1,18,3,19,1,44,7,0.265,0.321,0.297
13,2017,東北楽天,102,315,270,28,68,9,2,3,90,33,2,1,25,3,16,1,21,8,0.252,0.33299999999999996,0.293
14,2018,東北楽天,90,289,248,19,66,10,1,4,90,16,0,3,17,2,18,4,15,4,0.266,0.363,0.324
15,2019,東北楽天,61,136,124,13,32,4,0,2,42,10,1,0,4,0,7,1,16,1,0.258,0.33899999999999997,0.303
16,2020,東北楽天,55,38,35,3,7,1,0,0,8,4,0,0,2,0,1,0,5,2,0.2,0.22899999999999998,0.222
17,nan,通　算,1407,4281,3804,363,1019,129,22,24,1264,322,37,26,234,28,170,45,373,62,0.268,0.332,0.305
