,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2012,東北楽天,43,125,120,12,31,3,0,2,40,11,3,1,0,0,4,1,15,1,0.258,0.33299999999999996,0.28800000000000003
1,2013,東北楽天,79,264,226,40,73,9,1,1,87,13,3,3,7,0,27,4,31,6,0.32299999999999995,0.385,0.405
2,2014,東北楽天,142,618,545,77,154,27,3,7,208,53,9,10,9,3,57,4,71,7,0.28300000000000003,0.382,0.353
3,2015,東北楽天,41,155,137,13,23,5,2,1,35,13,7,2,4,2,12,0,15,0,0.168,0.255,0.23199999999999998
4,2016,東北楽天,127,485,420,44,106,13,4,6,145,35,7,9,6,3,46,10,49,4,0.252,0.345,0.33799999999999997
5,2017,東北楽天,111,400,342,51,89,13,5,3,121,32,3,2,10,5,41,2,65,6,0.26,0.354,0.33799999999999997
6,2018,東北楽天,108,241,216,16,41,10,1,3,62,15,1,1,3,0,22,0,54,4,0.19,0.287,0.265
7,2020,東北楽天,35,85,75,10,15,6,1,0,23,9,0,0,2,0,8,0,26,2,0.2,0.307,0.27699999999999997
8,2021,東北楽天,126,507,461,40,129,30,4,8,191,56,3,6,5,4,28,9,94,9,0.28,0.414,0.331
9,2022,東北楽天,53,199,182,20,39,8,3,3,62,25,2,1,2,2,10,3,27,6,0.214,0.341,0.264
10,nan,通　算,865,3079,2724,323,700,124,24,34,974,262,38,35,48,19,255,33,447,45,0.257,0.358,0.326
