,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2003,読　売,38.0,6.0,7.0,0.0,,,0.0,0.0,0.0,0.462,470.0,109.2,115.0,18.0,29.0,4.0,105.0,10.0,0.0,61.0,52.0,4.27
1,2004,読　売,35.0,7.0,6.0,8.0,,,1.0,0.0,1.0,0.5379999999999999,439.0,99.1,116.0,10.0,30.0,3.0,86.0,5.0,0.0,52.0,45.0,4.08
2,2005,読　売,64.0,7.0,4.0,7.0,17.0,24.0,0.0,0.0,0.0,0.636,346.0,78.2,82.0,8.0,27.0,7.0,67.0,3.0,0.0,32.0,30.0,3.43
3,2006,読　売,59.0,5.0,6.0,0.0,18.0,23.0,0.0,0.0,0.0,0.455,266.0,61.1,58.0,7.0,26.0,3.0,60.0,4.0,1.0,29.0,21.0,3.08
4,2007,読　売,13.0,3.0,5.0,0.0,1.0,1.0,1.0,1.0,0.0,0.375,260.0,60.1,67.0,13.0,12.0,6.0,46.0,0.0,0.0,29.0,29.0,4.33
5,2008,読　売,6.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,74.0,17.2,17.0,0.0,4.0,0.0,14.0,2.0,0.0,5.0,4.0,2.04
6,2009,読　売,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,116.0,27.1,24.0,3.0,10.0,1.0,25.0,3.0,0.0,10.0,10.0,3.29
7,2010,読　売,79.0,8.0,1.0,1.0,32.0,40.0,0.0,0.0,0.0,0.889,376.0,91,72.0,8.0,23.0,7.0,96.0,5.0,0.0,28.0,28.0,2.77
8,2011,読　売,67.0,4.0,2.0,20.0,21.0,25.0,0.0,0.0,0.0,0.667,273.0,69,45.0,1.0,20.0,1.0,67.0,5.0,0.0,9.0,9.0,1.17
9,2012,読　売,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1,2.0,0.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,9.0
10,2014,読　売,48.0,4.0,4.0,0.0,11.0,15.0,0.0,0.0,0.0,0.5,257.0,59,59.0,8.0,20.0,6.0,51.0,2.0,0.0,31.0,31.0,4.73
11,2016,横浜DeNA,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,12,10.0,1.0,7.0,1.0,8.0,0.0,0.0,7.0,7.0,5.25
12,2017,東北楽天,27.0,3.0,1.0,0.0,6.0,9.0,0.0,0.0,0.0,0.75,127.0,30,21.0,1.0,18.0,3.0,17.0,0.0,0.0,12.0,12.0,3.6
13,2018,東北楽天,25.0,1.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,112.0,26.1,22.0,4.0,11.0,1.0,18.0,2.0,0.0,6.0,5.0,1.71
14,2019,東北楽天,22.0,2.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.667,94.0,22.1,16.0,3.0,11.0,1.0,14.0,1.0,0.0,7.0,7.0,2.82
15,2020,東北楽天,5.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,10.0,2,4.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,13.5
16,nan,通　算,506.0,54.0,37.0,37.0,113.0,149.0,2.0,1.0,1.0,0.593,3279.0,767,730.0,85.0,250.0,45.0,676.0,42.0,1.0,324.0,294.0,3.45
