,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2011,広島東洋,27.0,8.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.444,640.0,146.1,133.0,14.0,68.0,8.0,120.0,11.0,2.0,76.0,67.0,4.12
1,2012,広島東洋,17.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,264.0,58.2,52.0,6.0,37.0,1.0,53.0,2.0,1.0,28.0,28.0,4.3
2,2013,広島東洋,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,19.2,29.0,1.0,11.0,1.0,14.0,1.0,0.0,23.0,19.0,8.69
3,2014,広島東洋,11.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.444,268.0,60,58.0,2.0,29.0,9.0,36.0,5.0,0.0,30.0,29.0,4.35
4,2015,広島東洋,21.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,541.0,131.1,106.0,10.0,53.0,5.0,99.0,7.0,1.0,53.0,52.0,3.56
5,2016,広島東洋,13.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.556,345.0,76.2,84.0,9.0,30.0,4.0,63.0,0.0,0.0,38.0,37.0,4.34
6,2017,広島東洋,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,131.0,27.2,36.0,1.0,12.0,2.0,15.0,0.0,0.0,24.0,22.0,7.16
7,2018,広島東洋,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,15,18.0,5.0,5.0,0.0,13.0,1.0,0.0,14.0,14.0,8.4
8,2019,東北楽天,8.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,150.0,33,31.0,3.0,24.0,2.0,20.0,1.0,0.0,19.0,19.0,5.18
9,2020,東北楽天,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,29.2,26.0,2.0,14.0,2.0,18.0,0.0,0.0,18.0,18.0,5.46
10,nan,通　算,124.0,32.0,41.0,0.0,0.0,0.0,3.0,0.0,0.0,0.43799999999999994,2632.0,598,573.0,53.0,283.0,34.0,451.0,28.0,4.0,323.0,305.0,4.59
