,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2012,東北楽天,20.0,7.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.636,501.0,112.1,126.0,4.0,38.0,7.0,77.0,6.0,0.0,48.0,41.0,3.28
1,2013,東北楽天,8.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.33299999999999996,75.0,13.2,24.0,1.0,8.0,3.0,11.0,1.0,0.0,19.0,19.0,12.51
2,2015,東北楽天,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,96.0,20,28.0,4.0,9.0,0.0,12.0,0.0,1.0,16.0,15.0,6.75
3,2016,東北楽天,20.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.583,510.0,113,124.0,12.0,50.0,8.0,77.0,2.0,0.0,56.0,52.0,4.14
4,2017,東北楽天,12.0,4.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5710000000000001,254.0,56.1,67.0,7.0,19.0,4.0,34.0,4.0,1.0,34.0,31.0,4.95
5,2018,東北楽天,12.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,67.0,12.2,14.0,1.0,14.0,2.0,9.0,2.0,0.0,12.0,12.0,8.53
6,2019,東北楽天,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,102.0,21.2,25.0,4.0,12.0,1.0,15.0,1.0,0.0,13.0,13.0,5.4
7,2020,東北楽天,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,3.2,9.0,0.0,4.0,1.0,4.0,0.0,0.0,5.0,4.0,9.82
8,2021,東北楽天,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,4,8.0,1.0,1.0,0.0,2.0,0.0,0.0,5.0,5.0,11.25
9,nan,通　算,86.0,21.0,16.0,0.0,2.0,3.0,2.0,1.0,0.0,0.568,1650.0,357.1,425.0,34.0,155.0,26.0,241.0,16.0,2.0,208.0,192.0,4.84
