,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2005,西　武,13.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14300000000000002,253.0,55.1,62.0,11.0,23.0,4.0,57.0,2.0,0.0,45.0,45.0,7.32
1,2006,西　武,26.0,12.0,8.0,0.0,0.0,0.0,8.0,1.0,2.0,0.6,734.0,178,161.0,16.0,53.0,8.0,136.0,7.0,1.0,79.0,64.0,3.24
2,2007,西　武,28.0,17.0,10.0,0.0,0.0,0.0,11.0,1.0,3.0,0.63,877.0,213,199.0,14.0,50.0,8.0,141.0,7.0,0.0,71.0,66.0,2.79
3,2008,埼玉西武,25.0,10.0,11.0,0.0,0.0,0.0,5.0,0.0,1.0,0.47600000000000003,738.0,173,173.0,16.0,51.0,8.0,122.0,11.0,0.0,80.0,75.0,3.9
4,2009,埼玉西武,27.0,16.0,6.0,0.0,0.0,0.0,11.0,4.0,0.0,0.727,863.0,211.2,162.0,12.0,76.0,9.0,199.0,5.0,0.0,57.0,54.0,2.3
5,2010,埼玉西武,27.0,14.0,8.0,0.0,0.0,0.0,6.0,2.0,1.0,0.636,828.0,196.1,191.0,21.0,54.0,9.0,154.0,6.0,0.0,85.0,80.0,3.67
6,2011,埼玉西武,26.0,9.0,12.0,0.0,0.0,0.0,5.0,1.0,2.0,0.429,744.0,178.1,184.0,9.0,41.0,8.0,108.0,7.0,0.0,71.0,58.0,2.93
7,2012,埼玉西武,55.0,1.0,5.0,30.0,3.0,4.0,0.0,0.0,0.0,0.16699999999999998,271.0,63,66.0,1.0,22.0,2.0,40.0,1.0,0.0,27.0,26.0,3.71
8,2013,埼玉西武,45.0,5.0,7.0,7.0,13.0,15.0,1.0,0.0,1.0,0.41700000000000004,398.0,92.1,89.0,4.0,29.0,8.0,79.0,5.0,0.0,51.0,40.0,3.9
9,2014,千葉ロッテ,26.0,8.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,708.0,164.2,158.0,9.0,63.0,10.0,116.0,7.0,1.0,81.0,77.0,4.21
10,2015,千葉ロッテ,28.0,15.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.625,786.0,188.2,178.0,11.0,57.0,8.0,117.0,6.0,0.0,79.0,71.0,3.39
11,2016,千葉ロッテ,26.0,10.0,7.0,0.0,0.0,0.0,5.0,0.0,1.0,0.588,793.0,188.2,195.0,15.0,48.0,4.0,118.0,1.0,0.0,73.0,63.0,3.01
12,2017,千葉ロッテ,25.0,5.0,11.0,0.0,0.0,0.0,1.0,1.0,0.0,0.313,675.0,158,156.0,20.0,53.0,7.0,115.0,6.0,0.0,74.0,70.0,3.99
13,2018,千葉ロッテ,22.0,7.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,0.43799999999999994,629.0,150.2,155.0,16.0,43.0,2.0,99.0,3.0,0.0,65.0,62.0,3.7
14,2019,千葉ロッテ,18.0,3.0,7.0,0.0,0.0,0.0,2.0,1.0,1.0,0.3,462.0,104,121.0,14.0,27.0,6.0,87.0,3.0,0.0,58.0,52.0,4.5
15,2020,東北楽天,20.0,11.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.733,529.0,130,110.0,17.0,38.0,3.0,110.0,3.0,0.0,53.0,52.0,3.6
16,2021,東北楽天,21.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.429,420.0,96.1,110.0,7.0,26.0,2.0,76.0,4.0,0.0,57.0,54.0,5.04
17,2022,東北楽天,10.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5710000000000001,224.0,56,50.0,6.0,10.0,1.0,35.0,0.0,0.0,23.0,22.0,3.54
18,nan,通　算,468.0,154.0,143.0,37.0,16.0,19.0,60.0,13.0,14.0,0.519,10932.0,2598,2520.0,219.0,764.0,107.0,1909.0,84.0,2.0,1129.0,1031.0,3.57
