,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2010,埼玉西武,30,55,42,11,11,1,1,2,20,9,2,0,1,1,8,3,8,2,0.262,0.47600000000000003,0.40700000000000003
1,2011,埼玉西武,137,498,437,48,117,17,3,9,167,45,7,2,18,3,37,3,52,8,0.268,0.382,0.327
2,2012,埼玉西武,114,459,404,52,99,18,7,7,152,37,13,6,13,4,34,4,63,9,0.245,0.376,0.307
3,2013,埼玉西武,144,620,543,85,172,38,5,27,301,110,14,8,7,4,61,5,88,9,0.317,0.5539999999999999,0.38799999999999996
4,2014,埼玉西武,118,501,440,52,120,19,1,14,183,55,3,5,0,8,47,6,100,8,0.273,0.41600000000000004,0.345
5,2015,埼玉西武,141,627,537,88,145,19,2,13,207,81,12,9,2,7,69,12,136,13,0.27,0.385,0.36200000000000004
6,2016,埼玉西武,143,611,557,73,172,40,0,24,284,82,8,6,3,6,38,7,108,18,0.309,0.51,0.35700000000000004
7,2017,埼玉西武,143,633,574,78,167,34,1,19,260,99,5,1,1,6,44,8,96,17,0.29100000000000004,0.45299999999999996,0.34700000000000003
8,2018,埼玉西武,143,640,565,104,175,27,0,32,298,127,4,2,0,5,68,2,105,18,0.31,0.527,0.38299999999999995
9,2019,東北楽天,143,635,529,93,139,26,2,33,268,92,1,1,0,9,93,4,162,12,0.263,0.507,0.37200000000000005
10,2020,東北楽天,120,529,432,72,121,25,0,32,242,104,1,1,0,2,91,4,111,15,0.28,0.56,0.408
11,2021,東北楽天,143,595,483,70,130,18,1,18,204,67,1,0,0,7,101,4,96,24,0.26899999999999996,0.42200000000000004,0.395
12,2022,東北楽天,143,633,532,73,134,17,0,27,232,86,4,3,0,4,92,5,137,13,0.252,0.436,0.365
13,nan,通　算,1662,7036,6075,899,1702,299,23,257,2818,994,75,44,45,66,783,67,1262,166,0.28,0.46399999999999997,0.365
