,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2010,東北楽天,2,6,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.16699999999999998,0.16699999999999998,0.16699999999999998
1,2011,東北楽天,22,59,54,4,12,0,0,0,12,6,1,0,2,0,2,1,7,0,0.222,0.222,0.263
2,2012,東北楽天,126,485,432,37,121,16,2,4,153,45,8,4,23,4,22,4,37,4,0.28,0.354,0.318
3,2013,東北楽天,131,525,482,63,153,24,3,4,195,54,3,3,1,4,36,2,44,14,0.317,0.405,0.365
4,2014,東北楽天,117,509,459,59,150,26,0,4,188,70,1,4,1,4,43,2,45,10,0.327,0.41,0.384
5,2015,東北楽天,82,354,316,24,95,10,1,1,110,36,8,3,3,4,30,1,19,5,0.301,0.348,0.359
6,2016,東北楽天,125,497,424,39,116,17,1,2,141,43,1,1,4,3,61,5,49,20,0.27399999999999997,0.33299999999999996,0.369
7,2017,東北楽天,143,590,529,55,155,30,0,3,194,60,2,1,1,2,56,2,74,11,0.293,0.36700000000000005,0.36200000000000004
8,2018,東北楽天,139,552,492,45,136,16,5,5,177,48,1,1,6,2,48,4,47,7,0.276,0.36,0.344
9,2019,東北楽天,141,590,529,56,161,24,1,5,202,56,2,5,4,1,52,4,58,19,0.304,0.382,0.37
10,2020,東北楽天,88,245,212,16,50,8,0,0,58,23,3,2,5,3,23,2,28,5,0.23600000000000002,0.27399999999999997,0.313
11,nan,通　算,1116,4412,3935,398,1150,171,13,28,1431,441,30,24,50,27,373,27,408,95,0.292,0.364,0.355
