,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2011,横　浜,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,25,27.0,1.0,5.0,1.0,10.0,1.0,1.0,20.0,16.0,5.76
1,2012,横浜DeNA,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2,3.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,18.0
2,2013,東北楽天,22.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,145.0,34.2,34.0,1.0,10.0,0.0,20.0,0.0,0.0,17.0,17.0,4.41
3,2014,東北楽天,65.0,4.0,2.0,1.0,23.0,27.0,0.0,0.0,0.0,0.667,265.0,67.1,63.0,2.0,12.0,1.0,32.0,0.0,0.0,14.0,14.0,1.87
4,2015,東北楽天,65.0,2.0,3.0,1.0,22.0,24.0,0.0,0.0,0.0,0.4,248.0,58.2,62.0,2.0,21.0,1.0,29.0,3.0,0.0,21.0,18.0,2.76
5,2016,東北楽天,69.0,4.0,5.0,0.0,19.0,23.0,0.0,0.0,0.0,0.444,294.0,69.2,65.0,2.0,19.0,5.0,30.0,1.0,1.0,24.0,21.0,2.71
6,2017,東北楽天,65.0,6.0,0.0,7.0,23.0,29.0,0.0,0.0,0.0,1.0,237.0,59.2,49.0,2.0,14.0,3.0,31.0,2.0,0.0,8.0,7.0,1.06
7,2018,東北楽天,21.0,1.0,2.0,0.0,3.0,4.0,0.0,0.0,0.0,0.33299999999999996,100.0,21.1,28.0,1.0,14.0,0.0,4.0,1.0,0.0,16.0,16.0,6.75
8,2019,東北楽天,7.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,38.0,8.2,8.0,0.0,1.0,3.0,4.0,0.0,0.0,5.0,5.0,5.19
9,2020,東北楽天,14.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,49.0,12,12.0,1.0,5.0,0.0,8.0,0.0,0.0,1.0,1.0,0.75
10,2021,東北楽天,24.0,0.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,101.0,22.2,23.0,3.0,12.0,0.0,13.0,0.0,0.0,6.0,6.0,2.38
11,nan,通　算,373.0,17.0,15.0,9.0,102.0,119.0,0.0,0.0,0.0,0.531,1600.0,381.2,374.0,15.0,114.0,15.0,181.0,8.0,2.0,136.0,125.0,2.95
