,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2012,東北楽天,41,104,97,11,29,6,1,2,43,17,1,0,4,1,2,0,8,2,0.299,0.44299999999999995,0.31
1,2013,東北楽天,97,329,299,36,85,6,4,6,117,38,6,4,4,5,21,0,44,6,0.284,0.391,0.326
2,2014,東北楽天,66,243,215,26,52,7,3,2,71,18,6,1,7,2,19,0,22,5,0.242,0.33,0.301
3,2015,東北楽天,25,81,74,6,15,2,3,0,23,6,5,1,2,1,4,0,6,0,0.203,0.311,0.24100000000000002
4,2016,東北楽天,114,388,342,43,98,9,2,9,138,41,10,2,7,4,33,2,48,7,0.287,0.40399999999999997,0.349
5,2017,東北楽天,143,577,494,62,131,14,3,14,193,47,3,6,12,3,64,4,67,8,0.265,0.391,0.35200000000000004
6,2018,東北楽天,103,453,394,53,115,16,3,11,170,53,11,5,3,3,47,6,45,10,0.292,0.431,0.373
7,2019,東北楽天,133,585,506,68,145,21,5,10,206,57,3,4,9,1,58,11,65,11,0.287,0.40700000000000003,0.37200000000000005
8,2020,東北楽天,114,471,406,50,114,17,2,8,159,53,9,1,6,4,48,7,71,8,0.281,0.392,0.363
9,2021,東北楽天,141,599,486,64,125,34,5,21,232,96,2,2,2,6,97,8,87,15,0.257,0.47700000000000004,0.385
10,nan,通　算,977,3830,3313,419,909,132,31,83,1352,426,56,26,56,30,393,38,463,72,0.27399999999999997,0.408,0.355
