,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2007,東北楽天,119,472,410,60,110,17,1,2,135,26,25,5,16,2,32,12,43,6,0.268,0.32899999999999996,0.33799999999999997
1,2008,東北楽天,132,567,470,79,118,11,2,0,133,30,34,6,19,2,54,22,66,6,0.251,0.28300000000000003,0.354
2,2009,東北楽天,125,547,463,79,128,24,2,1,159,28,26,7,19,3,55,7,69,13,0.276,0.34299999999999997,0.36
3,2010,東北楽天,115,425,355,43,94,14,1,0,110,26,12,3,20,1,39,10,43,8,0.265,0.31,0.353
4,2011,横　浜,126,469,403,33,107,16,2,1,130,24,7,5,19,0,36,11,73,13,0.266,0.32299999999999995,0.342
5,2012,横浜DeNA,70,213,174,19,39,4,0,0,43,10,2,4,5,0,24,10,27,1,0.22399999999999998,0.247,0.35100000000000003
6,2013,横浜DeNA,14,15,14,3,2,0,0,0,2,0,0,0,0,0,1,0,5,1,0.14300000000000002,0.14300000000000002,0.2
7,2013,埼玉西武,56,177,139,9,28,3,1,0,33,4,3,2,23,1,9,5,19,6,0.201,0.237,0.273
8,2014,埼玉西武,104,429,350,35,91,17,1,0,110,26,4,0,35,1,32,11,46,9,0.26,0.314,0.34
9,2015,埼玉西武,83,188,158,20,43,7,1,0,52,23,1,0,10,1,14,5,26,2,0.272,0.32899999999999996,0.348
10,2016,埼玉西武,70,207,181,18,56,3,2,0,63,16,1,0,11,2,10,3,20,5,0.309,0.348,0.35200000000000004
11,2017,埼玉西武,32,79,68,3,16,7,0,0,23,3,0,0,4,0,7,0,14,2,0.235,0.33799999999999997,0.307
12,2018,東北楽天,69,111,96,12,20,3,3,2,35,12,0,0,2,0,11,2,19,1,0.20800000000000002,0.365,0.303
13,2019,東北楽天,19,19,16,1,1,0,0,1,4,1,0,0,1,0,1,1,7,0,0.063,0.25,0.16699999999999998
14,2020,東北楽天,1,4,4,1,2,1,0,0,3,0,0,0,0,0,0,0,1,0,0.5,0.75,0.5
15,nan,通　算,1135,3922,3301,415,855,127,16,7,1035,229,115,32,184,13,325,99,478,73,0.259,0.314,0.342
