,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2012,千葉ロッテ,62,160,135,16,37,5,1,0,44,11,0,0,10,1,13,1,23,1,0.27399999999999997,0.326,0.34
1,2013,千葉ロッテ,144,551,481,54,127,20,11,5,184,50,2,4,14,6,38,12,66,8,0.264,0.38299999999999995,0.33
2,2014,千葉ロッテ,144,610,533,60,153,29,7,3,205,43,7,1,22,4,45,6,57,1,0.287,0.385,0.34700000000000003
3,2015,千葉ロッテ,142,564,487,60,128,24,4,6,178,50,1,5,24,3,47,3,58,10,0.263,0.366,0.33
4,2016,千葉ロッテ,143,583,501,62,143,30,2,6,195,61,3,1,16,7,50,9,56,9,0.285,0.389,0.35600000000000004
5,2017,千葉ロッテ,143,588,508,56,132,27,5,11,202,52,6,5,3,4,55,18,85,7,0.26,0.39799999999999996,0.35
6,2018,千葉ロッテ,143,558,477,44,127,27,6,8,190,49,8,4,14,6,44,17,55,11,0.266,0.39799999999999996,0.34600000000000003
7,2019,千葉ロッテ,140,614,527,76,152,34,4,15,239,68,3,1,13,2,56,16,75,11,0.28800000000000003,0.45399999999999996,0.373
8,2020,東北楽天,120,546,478,71,141,27,1,4,182,55,1,3,12,3,46,7,58,18,0.295,0.381,0.363
9,2021,東北楽天,143,628,552,70,153,19,3,10,208,53,3,2,13,5,52,6,51,12,0.27699999999999997,0.377,0.34299999999999997
10,nan,通　算,1324,5402,4679,569,1293,242,44,68,1827,492,34,26,141,41,446,95,584,88,0.276,0.39,0.349
