,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2006,東北楽天,42.0,1.0,3.0,0.0,4.0,5.0,0.0,0.0,0.0,0.25,305.0,65.2,90.0,6.0,18.0,3.0,46.0,6.0,0.0,48.0,43.0,5.89
1,2007,東北楽天,26.0,4.0,8.0,0.0,0.0,1.0,1.0,1.0,1.0,0.33299999999999996,385.0,84.2,101.0,10.0,33.0,4.0,62.0,1.0,0.0,54.0,44.0,4.68
2,2008,東北楽天,41.0,3.0,8.0,4.0,5.0,8.0,0.0,0.0,0.0,0.273,348.0,78.2,86.0,8.0,26.0,4.0,61.0,3.0,0.0,39.0,34.0,3.89
3,2009,東北楽天,28.0,3.0,5.0,5.0,2.0,3.0,1.0,0.0,0.0,0.375,281.0,62.1,70.0,10.0,25.0,4.0,53.0,1.0,0.0,43.0,38.0,5.49
4,2010,東北楽天,41.0,5.0,1.0,1.0,15.0,20.0,0.0,0.0,0.0,0.833,217.0,52.1,48.0,2.0,14.0,0.0,63.0,1.0,0.0,13.0,10.0,1.72
5,2011,東北楽天,51.0,3.0,4.0,2.0,23.0,26.0,0.0,0.0,0.0,0.429,290.0,71,58.0,4.0,23.0,3.0,64.0,3.0,0.0,23.0,22.0,2.79
6,2012,東北楽天,61.0,5.0,4.0,22.0,2.0,7.0,0.0,0.0,0.0,0.556,260.0,64.2,48.0,2.0,19.0,4.0,54.0,1.0,0.0,18.0,18.0,2.51
7,2013,東北楽天,60.0,3.0,5.0,11.0,17.0,20.0,0.0,0.0,0.0,0.375,263.0,60.1,61.0,6.0,20.0,1.0,60.0,3.0,0.0,24.0,23.0,3.43
8,2014,東北楽天,22.0,1.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.2,230.0,52.2,52.0,6.0,20.0,2.0,49.0,3.0,0.0,30.0,26.0,4.44
9,2015,東北楽天,61.0,4.0,5.0,0.0,31.0,35.0,0.0,0.0,0.0,0.444,223.0,57.2,37.0,3.0,18.0,1.0,58.0,2.0,0.0,18.0,18.0,2.81
10,2016,東北楽天,50.0,1.0,5.0,0.0,14.0,15.0,0.0,0.0,0.0,0.16699999999999998,227.0,50.1,53.0,5.0,24.0,0.0,46.0,3.0,0.0,29.0,27.0,4.83
11,2017,東北楽天,17.0,1.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,0.5,68.0,15.2,12.0,1.0,6.0,3.0,16.0,0.0,0.0,4.0,4.0,2.3
12,2018,東北楽天,52.0,4.0,1.0,0.0,26.0,30.0,0.0,0.0,0.0,0.8,200.0,48.2,35.0,2.0,21.0,4.0,37.0,1.0,0.0,11.0,10.0,1.85
13,2019,東北楽天,62.0,2.0,4.0,0.0,16.0,18.0,0.0,0.0,0.0,0.33299999999999996,208.0,53.1,37.0,8.0,18.0,0.0,36.0,1.0,0.0,16.0,16.0,2.7
14,2020,東北楽天,11.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,50.0,10.1,11.0,0.0,6.0,0.0,8.0,1.0,0.0,6.0,5.0,4.35
15,nan,通　算,625.0,42.0,58.0,45.0,159.0,196.0,2.0,1.0,1.0,0.42,3555.0,828.1,799.0,73.0,291.0,33.0,713.0,30.0,0.0,376.0,338.0,3.67
