,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2007,西　武,24.0,11.0,7.0,0.0,0.0,0.0,2.0,2.0,1.0,0.611,650.0,156.1,131.0,16.0,55.0,8.0,142.0,2.0,0.0,62.0,59.0,3.4
1,2008,埼玉西武,26.0,12.0,4.0,0.0,0.0,0.0,4.0,2.0,0.0,0.75,695.0,168.1,151.0,12.0,48.0,5.0,138.0,4.0,0.0,65.0,64.0,3.42
2,2009,埼玉西武,26.0,13.0,5.0,0.0,0.0,1.0,2.0,1.0,0.0,0.722,755.0,179.2,168.0,25.0,53.0,5.0,138.0,3.0,1.0,73.0,65.0,3.26
3,2010,埼玉西武,19.0,10.0,6.0,1.0,0.0,0.0,3.0,2.0,3.0,0.625,460.0,113.2,100.0,9.0,26.0,5.0,110.0,3.0,0.0,41.0,41.0,3.25
4,2011,埼玉西武,21.0,8.0,9.0,0.0,0.0,0.0,3.0,0.0,1.0,0.47100000000000003,564.0,135,131.0,12.0,39.0,3.0,106.0,1.0,0.0,65.0,57.0,3.8
5,2012,埼玉西武,26.0,11.0,12.0,0.0,0.0,0.0,4.0,1.0,1.0,0.478,729.0,187.2,141.0,9.0,40.0,4.0,150.0,3.0,0.0,52.0,51.0,2.45
6,2013,埼玉西武,26.0,11.0,5.0,0.0,0.0,0.0,3.0,2.0,1.0,0.688,716.0,178.1,155.0,17.0,31.0,6.0,138.0,6.0,0.0,63.0,61.0,3.08
7,2014,埼玉西武,23.0,13.0,4.0,0.0,0.0,0.0,5.0,4.0,1.0,0.765,630.0,161.1,126.0,16.0,36.0,2.0,126.0,0.0,0.0,48.0,45.0,2.51
8,2015,埼玉西武,16.0,5.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.455,434.0,110.1,75.0,6.0,25.0,5.0,91.0,0.0,0.0,40.0,37.0,3.02
9,2016,埼玉西武,19.0,9.0,7.0,0.0,0.0,0.0,2.0,1.0,0.0,0.563,541.0,130.1,123.0,8.0,36.0,1.0,104.0,0.0,0.0,42.0,36.0,2.49
10,2017,東北楽天,26.0,8.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.444,703.0,176.1,141.0,19.0,38.0,3.0,189.0,4.0,0.0,56.0,54.0,2.76
11,2018,東北楽天,23.0,11.0,4.0,0.0,0.0,0.0,4.0,1.0,1.0,0.733,625.0,159,127.0,21.0,29.0,8.0,159.0,3.0,0.0,52.0,48.0,2.72
12,2019,東北楽天,15.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,381.0,93.2,80.0,12.0,25.0,1.0,86.0,1.0,0.0,37.0,37.0,3.56
13,2020,東北楽天,11.0,7.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,269.0,67.1,48.0,5.0,20.0,1.0,70.0,0.0,0.0,24.0,24.0,3.21
14,nan,通　算,301.0,132.0,84.0,1.0,0.0,1.0,40.0,17.0,9.0,0.611,8152.0,2017.1,1697.0,187.0,501.0,57.0,1747.0,30.0,1.0,720.0,679.0,3.03
