,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2011,北海道日本ハム,19.0,6.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,472.0,107,122.0,5.0,35.0,5.0,62.0,6.0,0.0,41.0,32.0,2.69
1,2012,北海道日本ハム,19.0,5.0,8.0,0.0,0.0,0.0,2.0,1.0,0.0,0.385,480.0,104,126.0,8.0,48.0,2.0,59.0,5.0,0.0,60.0,46.0,3.98
2,2013,北海道日本ハム,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,4,5.0,0.0,5.0,1.0,1.0,1.0,0.0,6.0,6.0,13.5
3,2014,北海道日本ハム,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,118.0,26,28.0,4.0,16.0,1.0,20.0,0.0,0.0,15.0,14.0,4.85
4,2015,北海道日本ハム,12.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,190.0,42.1,52.0,5.0,14.0,1.0,24.0,0.0,0.0,28.0,27.0,5.74
5,2016,北海道日本ハム,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,23.2,26.0,2.0,11.0,2.0,14.0,3.0,0.0,12.0,12.0,4.56
6,2017,北海道日本ハム,6.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,126.0,28,39.0,3.0,5.0,2.0,14.0,0.0,0.0,23.0,21.0,6.75
7,2018,北海道日本ハム,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,8.2,8.0,2.0,12.0,2.0,3.0,0.0,0.0,8.0,7.0,7.27
8,2019,北海道日本ハム,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,21,19.0,1.0,8.0,0.0,12.0,2.0,0.0,12.0,11.0,4.71
9,2021,北海道日本ハム,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,nan,通　算,89.0,15.0,26.0,0.0,0.0,0.0,3.0,1.0,0.0,0.366,1646.0,364.2,425.0,30.0,155.0,16.0,209.0,17.0,0.0,205.0,176.0,4.34
