,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2011,北海道日本ハム,8,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0
1,2012,北海道日本ハム,105,82,70,9,8,0,0,0,8,0,2,0,11,0,1,0,17,0,0.114,0.114,0.127
2,2013,北海道日本ハム,127,272,223,24,53,5,0,0,58,8,23,2,26,1,21,1,47,2,0.23800000000000002,0.26,0.305
3,2014,北海道日本ハム,126,461,382,55,99,9,3,0,114,32,28,9,35,1,43,0,92,4,0.259,0.298,0.33299999999999996
4,2015,北海道日本ハム,143,617,515,69,136,8,2,0,148,39,34,7,34,0,66,2,93,10,0.264,0.287,0.35
5,2016,北海道日本ハム,143,600,473,66,115,10,1,0,127,28,23,9,62,1,63,1,117,5,0.243,0.268,0.33299999999999996
6,2017,北海道日本ハム,91,331,283,26,59,1,2,1,67,13,11,3,25,0,23,0,80,2,0.20800000000000002,0.237,0.268
7,2018,北海道日本ハム,132,449,391,57,102,11,3,1,122,23,29,5,22,1,35,0,88,4,0.261,0.312,0.321
8,2019,北海道日本ハム,120,328,291,39,64,5,1,0,71,16,12,5,12,1,22,2,70,2,0.22,0.244,0.278
9,2020,北海道日本ハム,88,191,159,22,32,5,0,0,37,8,11,2,10,0,22,0,36,1,0.201,0.233,0.298
10,nan,通　算,1083,3332,2788,369,668,54,12,2,752,167,174,42,237,5,296,6,641,30,0.24,0.27,0.313
