,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2013,東京ヤクルト,6,23,21,0,4,0,0,0,4,1,0,0,1,0,1,0,3,1,0.19,0.19,0.22699999999999998
1,2014,東京ヤクルト,43,99,89,6,17,4,0,1,24,16,0,1,2,3,4,1,14,1,0.191,0.27,0.22699999999999998
2,2015,東京ヤクルト,4,6,6,1,3,1,0,0,4,0,0,0,0,0,0,0,1,0,0.5,0.667,0.5
3,2016,東京ヤクルト,23,80,70,10,21,5,0,1,29,6,0,0,2,0,7,1,14,2,0.3,0.414,0.37200000000000005
4,2017,東京ヤクルト,42,104,91,6,18,2,0,0,20,7,0,0,4,0,9,0,19,3,0.198,0.22,0.27
5,2018,東京ヤクルト,36,46,45,5,10,3,0,0,13,7,0,0,0,1,0,0,9,1,0.222,0.289,0.217
6,2019,北海道日本ハム,24,26,25,1,2,0,0,0,2,1,0,0,0,0,0,1,8,2,0.08,0.08,0.115
7,2020,北海道日本ハム,50,18,16,3,5,0,0,0,5,3,0,0,0,1,1,0,3,0,0.313,0.313,0.33299999999999996
8,2021,北海道日本ハム,106,44,39,3,7,0,0,0,7,2,0,0,1,1,3,0,5,1,0.179,0.179,0.233
9,nan,通　算,334,446,402,35,87,15,0,2,108,43,0,1,10,6,25,3,76,11,0.21600000000000003,0.26899999999999996,0.264
