,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2012,北海道日本ハム,71,155,134,22,32,6,1,2,46,13,7,0,7,0,14,0,34,0,0.239,0.34299999999999997,0.311
1,2013,北海道日本ハム,85,332,281,35,78,18,1,2,104,26,22,2,14,1,31,5,69,5,0.278,0.37,0.358
2,2014,北海道日本ハム,143,637,555,90,147,19,13,8,216,57,43,11,16,0,63,3,139,1,0.265,0.389,0.34299999999999997
3,2015,北海道日本ハム,125,521,442,68,122,18,9,5,173,35,30,7,15,0,60,4,98,1,0.276,0.391,0.368
4,2016,北海道日本ハム,138,593,493,76,155,18,4,5,196,43,41,5,22,2,73,3,113,0,0.314,0.39799999999999996,0.405
5,2017,北海道日本ハム,138,623,541,82,160,26,6,9,225,44,39,5,6,3,69,4,103,6,0.29600000000000004,0.41600000000000004,0.37799999999999995
6,2018,北海道日本ハム,140,636,528,90,147,25,6,10,214,48,44,3,7,2,96,3,103,1,0.278,0.405,0.391
7,2019,北海道日本ハム,142,651,548,88,158,26,6,5,211,41,19,5,8,0,93,2,111,5,0.28800000000000003,0.385,0.39299999999999996
8,2020,北海道日本ハム,115,523,422,82,129,17,3,5,167,39,42,7,4,3,92,2,84,5,0.306,0.396,0.43
9,nan,通　算,1097,4671,3944,633,1128,173,49,51,1552,346,287,45,99,11,591,26,854,24,0.28600000000000003,0.39399999999999996,0.382
