,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2008,横　浜,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
1,2009,横　浜,10,10,10,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0.1,0.1,0.1
2,2010,横　浜,17,28,27,3,5,1,0,0,6,2,0,0,1,0,0,0,4,0,0.185,0.222,0.185
3,2011,横　浜,45,114,97,5,17,3,0,1,23,5,0,0,6,0,11,0,27,3,0.175,0.237,0.259
4,2012,横浜DeNA,61,119,112,6,14,4,0,0,18,5,0,0,2,1,4,0,26,3,0.125,0.161,0.154
5,2013,横浜DeNA,30,68,60,6,16,1,0,2,23,5,0,0,2,0,5,1,16,2,0.267,0.38299999999999995,0.33299999999999996
6,2014,横浜DeNA,109,374,326,32,86,10,0,2,102,24,1,2,17,2,24,5,78,10,0.264,0.313,0.322
7,2015,横浜DeNA,63,149,129,8,23,3,0,1,29,7,0,1,7,2,11,0,32,2,0.17800000000000002,0.225,0.239
8,2017,北海道日本ハム,19,30,29,1,8,2,0,0,10,1,0,0,1,0,0,0,6,0,0.276,0.345,0.276
9,2018,北海道日本ハム,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0
10,2019,北海道日本ハム,4,3,2,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0.0,0.0,0.33299999999999996
11,nan,通　算,361,898,795,62,170,24,0,6,212,50,1,3,36,5,56,6,195,20,0.214,0.267,0.26899999999999996
