,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2012,北海道日本ハム,4,6,5,0,2,1,0,0,3,1,0,0,1,0,0,0,2,0,0.4,0.6,0.4
1,2013,北海道日本ハム,14,43,37,3,4,1,0,0,5,0,0,0,2,0,4,0,11,0,0.10800000000000001,0.135,0.195
2,2014,北海道日本ハム,72,175,164,18,44,7,1,2,59,11,3,1,2,0,9,0,56,0,0.268,0.36,0.306
3,2015,北海道日本ハム,48,124,107,15,26,5,0,2,37,10,5,2,1,2,14,0,25,3,0.243,0.34600000000000003,0.325
4,2016,北海道日本ハム,83,211,193,26,49,3,2,1,59,9,7,0,9,0,8,1,48,2,0.254,0.306,0.287
5,2018,北海道日本ハム,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0
6,2019,北海道日本ハム,30,50,48,4,11,2,0,2,19,10,0,0,0,0,2,0,12,1,0.22899999999999998,0.396,0.26
7,2020,北海道日本ハム,7,9,9,1,2,1,0,0,3,1,0,0,0,0,0,0,3,0,0.222,0.33299999999999996,0.222
8,2021,北海道日本ハム,8,12,12,0,2,0,0,0,2,0,0,0,0,0,0,0,5,0,0.16699999999999998,0.16699999999999998,0.16699999999999998
9,nan,通　算,272,636,581,67,140,20,3,7,187,42,15,3,15,2,37,1,164,6,0.24100000000000002,0.322,0.287
