,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2006,オリックス,21.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.5,120.0,28,20.0,4.0,18.0,2.0,22.0,3.0,1.0,13.0,11.0,3.54
1,2007,オリックス,36.0,6.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,0.75,343.0,84,75.0,4.0,20.0,1.0,68.0,1.0,0.0,31.0,26.0,2.79
2,2008,オリックス,29.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.526,717.0,165,185.0,19.0,34.0,8.0,126.0,3.0,0.0,78.0,73.0,3.98
3,2009,オリックス,32.0,11.0,8.0,4.0,0.0,1.0,5.0,2.0,1.0,0.579,683.0,171.2,149.0,15.0,34.0,4.0,165.0,2.0,0.0,54.0,49.0,2.57
4,2010,オリックス,30.0,17.0,8.0,0.0,1.0,1.0,7.0,6.0,2.0,0.68,831.0,204.1,184.0,17.0,44.0,3.0,190.0,5.0,2.0,85.0,75.0,3.3
5,2011,オリックス,20.0,10.0,4.0,0.0,0.0,0.0,5.0,2.0,3.0,0.7140000000000001,613.0,155.1,126.0,9.0,38.0,2.0,123.0,3.0,0.0,45.0,42.0,2.43
6,2012,オリックス,9.0,4.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,0.5710000000000001,265.0,63.2,65.0,2.0,15.0,1.0,56.0,3.0,0.0,19.0,17.0,2.4
7,2013,オリックス,29.0,15.0,8.0,0.0,0.0,0.0,10.0,3.0,1.0,0.652,881.0,223.1,166.0,10.0,58.0,3.0,200.0,6.0,1.0,55.0,50.0,2.01
8,2014,オリックス,26.0,16.0,5.0,0.0,0.0,0.0,4.0,3.0,1.0,0.762,763.0,191,157.0,7.0,42.0,3.0,199.0,6.0,0.0,48.0,42.0,1.98
9,2015,オリックス,16.0,7.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5379999999999999,379.0,93,85.0,8.0,18.0,0.0,79.0,1.0,0.0,34.0,33.0,3.19
10,2016,オリックス,24.0,7.0,9.0,0.0,0.0,0.0,2.0,1.0,1.0,0.43799999999999994,676.0,162,143.0,13.0,59.0,2.0,125.0,7.0,0.0,71.0,69.0,3.83
11,2017,オリックス,27.0,12.0,8.0,0.0,0.0,0.0,6.0,1.0,2.0,0.6,754.0,184.1,160.0,21.0,56.0,2.0,141.0,1.0,0.0,80.0,71.0,3.47
12,2018,オリックス,17.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.364,430.0,100,97.0,11.0,35.0,3.0,72.0,3.0,0.0,47.0,43.0,3.87
13,2019,北海道日本ハム,26.0,8.0,7.0,0.0,2.0,2.0,0.0,0.0,0.0,0.5329999999999999,460.0,109.2,106.0,10.0,40.0,0.0,75.0,2.0,0.0,42.0,37.0,3.04
14,2020,北海道日本ハム,34.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.25,199.0,44,49.0,5.0,17.0,2.0,47.0,1.0,0.0,29.0,25.0,5.11
15,2021,北海道日本ハム,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,33.1,42.0,4.0,13.0,3.0,22.0,3.0,0.0,23.0,23.0,6.21
16,2022,北海道日本ハム,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33299999999999996,54.0,13,15.0,0.0,1.0,0.0,11.0,0.0,0.0,7.0,7.0,4.85
17,nan,通　算,387.0,130.0,94.0,5.0,8.0,11.0,43.0,21.0,12.0,0.58,8317.0,2025.2,1824.0,159.0,542.0,39.0,1721.0,50.0,4.0,761.0,693.0,3.08
