,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2009,読　売,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
1,2010,読　売,2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
2,2011,読　売,12,28,26,4,4,1,0,0,5,3,0,0,1,1,0,0,9,0,0.154,0.192,0.14800000000000002
3,2012,読　売,21,70,63,9,16,4,1,2,28,7,3,2,0,0,7,0,15,3,0.254,0.444,0.32899999999999996
4,2013,読　売,21,38,31,3,5,0,0,0,5,2,1,0,2,1,4,0,9,0,0.161,0.161,0.25
5,2014,読　売,44,74,65,14,16,6,0,2,28,12,4,2,0,0,8,1,20,2,0.24600000000000002,0.431,0.33799999999999997
6,2015,読　売,60,138,130,13,36,7,0,1,46,3,3,2,0,0,7,1,39,0,0.27699999999999997,0.354,0.319
7,2016,読　売,62,119,114,12,23,6,1,4,43,13,0,0,0,1,4,0,45,3,0.20199999999999999,0.377,0.22699999999999998
8,2017,北海道日本ハム,118,457,427,41,110,21,1,15,178,46,5,2,0,2,28,0,88,14,0.258,0.41700000000000004,0.302
9,2018,北海道日本ハム,104,429,383,56,105,22,4,14,177,59,3,4,0,1,38,7,103,11,0.27399999999999997,0.462,0.35
10,2019,北海道日本ハム,132,594,557,79,161,28,1,20,251,77,6,2,0,5,27,5,111,22,0.289,0.451,0.325
11,2020,北海道日本ハム,115,481,455,57,125,16,1,14,185,68,3,3,0,0,25,1,105,11,0.275,0.40700000000000003,0.314
12,nan,通　算,694,2435,2258,288,601,111,9,72,946,290,28,17,3,11,148,15,546,66,0.266,0.419,0.314
