,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2008,北海道日本ハム,50.0,2.0,4.0,0.0,8.0,10.0,0.0,0.0,0.0,0.33299999999999996,198.0,45.1,47.0,5.0,15.0,2.0,25.0,2.0,1.0,24.0,22.0,4.37
1,2009,北海道日本ハム,58.0,7.0,2.0,0.0,13.0,20.0,0.0,0.0,0.0,0.778,189.0,46.2,39.0,6.0,15.0,1.0,55.0,0.0,0.0,15.0,15.0,2.89
2,2010,北海道日本ハム,61.0,2.0,1.0,1.0,23.0,25.0,0.0,0.0,0.0,0.667,181.0,47.2,29.0,1.0,9.0,4.0,49.0,0.0,0.0,9.0,9.0,1.7
3,2011,北海道日本ハム,61.0,1.0,2.0,0.0,14.0,15.0,0.0,0.0,0.0,0.33299999999999996,218.0,53,38.0,3.0,14.0,8.0,56.0,2.0,0.0,15.0,13.0,2.21
4,2012,北海道日本ハム,66.0,2.0,2.0,0.0,39.0,41.0,0.0,0.0,0.0,0.5,244.0,60,51.0,4.0,14.0,4.0,56.0,0.0,0.0,18.0,15.0,2.25
5,2013,北海道日本ハム,57.0,3.0,1.0,0.0,30.0,33.0,0.0,0.0,0.0,0.75,197.0,46.2,40.0,1.0,16.0,2.0,39.0,1.0,0.0,12.0,9.0,1.74
6,2014,北海道日本ハム,62.0,1.0,5.0,0.0,41.0,42.0,0.0,0.0,0.0,0.16699999999999998,218.0,50,47.0,2.0,23.0,4.0,46.0,0.0,0.0,14.0,12.0,2.16
7,2015,北海道日本ハム,50.0,3.0,3.0,0.0,25.0,28.0,0.0,0.0,0.0,0.5,163.0,40,29.0,4.0,11.0,1.0,30.0,1.0,0.0,19.0,12.0,2.7
8,2016,北海道日本ハム,58.0,3.0,1.0,2.0,39.0,42.0,0.0,0.0,0.0,0.75,190.0,47.1,28.0,0.0,22.0,5.0,36.0,1.0,0.0,11.0,8.0,1.52
9,2017,北海道日本ハム,51.0,4.0,5.0,0.0,25.0,29.0,0.0,0.0,0.0,0.444,164.0,40.2,34.0,3.0,12.0,0.0,24.0,2.0,0.0,19.0,15.0,3.32
10,2018,北海道日本ハム,55.0,4.0,3.0,0.0,37.0,41.0,0.0,0.0,0.0,0.5710000000000001,186.0,45,29.0,1.0,20.0,5.0,39.0,0.0,0.0,11.0,9.0,1.8
11,2019,北海道日本ハム,55.0,1.0,2.0,0.0,43.0,44.0,0.0,0.0,0.0,0.33299999999999996,182.0,47.1,32.0,1.0,6.0,3.0,51.0,1.0,0.0,13.0,9.0,1.71
12,2020,北海道日本ハム,50.0,2.0,1.0,8.0,21.0,23.0,0.0,0.0,0.0,0.667,197.0,48.1,34.0,4.0,22.0,4.0,53.0,1.0,0.0,12.0,11.0,2.05
13,nan,通　算,734.0,35.0,32.0,11.0,358.0,393.0,0.0,0.0,0.0,0.522,2527.0,618,477.0,35.0,199.0,43.0,559.0,11.0,1.0,192.0,159.0,2.32
