,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2007,西　武,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
1,2009,埼玉西武,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2,2011,埼玉西武,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
3,2012,埼玉西武,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
4,2013,埼玉西武,11,16,14,1,3,1,1,1,9,1,0,0,1,0,1,0,8,0,0.214,0.643,0.267
5,2014,埼玉西武,100,330,284,34,61,13,2,10,108,27,16,8,21,2,20,3,112,3,0.215,0.38,0.272
6,2015,埼玉西武,49,92,82,12,16,4,1,5,37,12,1,0,4,0,4,2,28,0,0.195,0.451,0.25
7,2016,埼玉西武,28,35,30,4,5,1,0,0,6,2,1,0,3,0,2,0,12,0,0.16699999999999998,0.2,0.21899999999999997
8,2017,埼玉西武,105,203,184,26,37,5,1,2,50,13,7,4,4,1,13,1,53,5,0.201,0.272,0.256
9,2018,埼玉西武,75,120,104,18,27,5,1,3,43,12,7,3,5,0,10,1,33,0,0.26,0.413,0.33
10,2019,埼玉西武,130,441,391,46,86,12,3,10,134,38,16,9,15,6,24,5,101,3,0.22,0.34299999999999997,0.27
11,2020,埼玉西武,90,301,264,25,61,12,2,8,101,33,5,4,9,3,18,7,75,4,0.231,0.38299999999999995,0.295
12,2021,埼玉西武,20,56,50,4,9,2,0,0,11,3,0,0,2,1,3,0,18,0,0.18,0.22,0.222
13,2021,北海道日本ハム,23,36,29,2,3,1,0,1,7,4,0,0,0,2,5,0,13,1,0.10300000000000001,0.24100000000000002,0.222
14,2022,北海道日本ハム,38,101,95,7,17,4,0,2,27,9,0,1,0,1,4,1,39,1,0.179,0.284,0.218
15,nan,通　算,710,1731,1527,179,325,60,11,42,533,154,53,29,64,16,104,20,492,17,0.213,0.349,0.26899999999999996
