,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2012,北海道日本ハム,20,30,26,2,5,0,0,0,5,2,0,0,1,1,2,0,5,1,0.192,0.192,0.24100000000000002
1,2013,北海道日本ハム,32,80,66,7,10,0,0,0,10,2,2,0,2,1,11,0,14,4,0.152,0.152,0.26899999999999996
2,2014,北海道日本ハム,89,291,264,24,68,20,1,4,102,28,3,4,10,2,15,0,45,4,0.258,0.386,0.295
3,2015,北海道日本ハム,129,504,435,68,142,33,2,8,203,60,6,2,3,5,59,2,59,9,0.326,0.467,0.405
4,2016,北海道日本ハム,80,291,257,36,68,9,0,2,83,27,5,2,3,2,29,0,45,7,0.265,0.32299999999999995,0.337
5,2017,北海道日本ハム,57,231,167,32,69,15,0,3,93,29,3,0,0,2,60,2,27,3,0.413,0.557,0.5670000000000001
6,2018,北海道日本ハム,129,555,462,59,149,29,3,9,211,69,5,0,0,5,87,1,90,16,0.32299999999999995,0.457,0.42700000000000005
7,2019,北海道日本ハム,138,600,490,74,148,32,5,2,196,59,1,4,0,5,103,2,81,11,0.302,0.4,0.42200000000000004
8,2020,北海道日本ハム,108,467,371,56,126,31,1,5,174,60,4,0,0,5,89,2,72,6,0.34,0.469,0.465
9,2021,北海道日本ハム,133,545,447,61,133,37,4,11,211,69,4,1,0,6,88,4,84,11,0.298,0.47200000000000003,0.413
10,2022,北海道日本ハム,99,396,325,51,98,26,1,8,150,41,8,7,1,3,66,1,45,7,0.302,0.462,0.418
11,nan,通　算,1014,3990,3310,470,1016,232,17,52,1438,446,41,20,20,37,609,14,567,79,0.307,0.434,0.413
