,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2009,北海道日本ハム,22,38,36,3,10,2,0,0,12,1,0,0,0,1,1,0,15,0,0.278,0.33299999999999996,0.289
1,2010,北海道日本ハム,65,230,210,20,49,5,1,9,83,22,0,0,0,2,15,3,61,8,0.233,0.395,0.29100000000000004
2,2011,北海道日本ハム,143,572,527,49,125,32,2,18,215,91,4,0,0,8,31,6,133,12,0.237,0.408,0.28300000000000003
3,2012,北海道日本ハム,144,606,547,79,131,25,1,24,230,77,5,4,0,4,50,5,101,8,0.239,0.42,0.307
4,2013,北海道日本ハム,108,459,407,67,124,14,1,28,224,73,1,2,0,1,45,6,77,11,0.305,0.55,0.381
5,2014,北海道日本ハム,144,602,531,64,143,18,0,27,242,100,0,0,0,7,58,6,89,12,0.26899999999999996,0.456,0.344
6,2015,北海道日本ハム,143,611,539,72,142,26,0,30,258,102,1,0,0,7,64,1,120,11,0.263,0.479,0.33899999999999997
7,2016,北海道日本ハム,141,624,569,61,142,26,1,25,245,110,2,1,0,5,47,3,126,14,0.25,0.431,0.308
8,2017,北海道日本ハム,129,542,472,56,102,23,0,16,173,67,0,1,0,4,61,5,103,14,0.21600000000000003,0.36700000000000005,0.31
9,2018,北海道日本ハム,140,599,540,61,143,32,0,25,250,106,0,1,0,13,43,3,81,24,0.265,0.46299999999999997,0.316
10,2019,北海道日本ハム,124,514,450,55,109,21,0,24,202,80,0,0,0,4,55,5,83,16,0.242,0.449,0.32899999999999996
11,2020,北海道日本ハム,119,506,440,52,105,18,0,31,216,108,1,0,0,9,55,2,109,19,0.239,0.491,0.32
12,nan,通　算,1422,5903,5268,639,1325,242,6,257,2350,937,14,9,0,65,525,45,1098,149,0.252,0.446,0.321
