,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2014,東京ヤクルト,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,92.0,23,23.0,5.0,2.0,1.0,28.0,0.0,0.0,9.0,9.0,3.52
1,2015,東京ヤクルト,7.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,164.0,37,35.0,2.0,21.0,0.0,25.0,1.0,0.0,12.0,12.0,2.92
2,2016,東京ヤクルト,17.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,252.0,51.2,75.0,6.0,25.0,1.0,45.0,2.0,0.0,43.0,41.0,7.14
3,2017,東京ヤクルト,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,4.2,3.0,2.0,1.0,0.0,9.0,0.0,0.0,2.0,2.0,3.86
4,2018,北海道日本ハム,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,47.0,12.2,6.0,1.0,3.0,1.0,11.0,0.0,0.0,4.0,4.0,2.84
5,2019,北海道日本ハム,14.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,252.0,65,52.0,7.0,13.0,2.0,50.0,1.0,0.0,30.0,27.0,3.74
6,2020,北海道日本ハム,17.0,7.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.583,319.0,74.2,59.0,6.0,37.0,1.0,68.0,2.0,0.0,29.0,26.0,3.13
7,2021,北海道日本ハム,56.0,3.0,3.0,28.0,1.0,4.0,0.0,0.0,0.0,0.5,221.0,54.2,34.0,9.0,24.0,1.0,69.0,4.0,0.0,18.0,18.0,2.96
8,2022,北海道日本ハム,16.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33299999999999996,184.0,42.2,45.0,5.0,10.0,2.0,48.0,3.0,0.0,25.0,25.0,5.27
9,nan,通　算,139.0,25.0,26.0,29.0,1.0,5.0,0.0,0.0,0.0,0.49,1549.0,366,332.0,43.0,136.0,9.0,353.0,13.0,0.0,172.0,164.0,4.03
