,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2005,北海道日本ハム,4,8,8,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0.125,0.125,0.125
1,2006,北海道日本ハム,76,218,203,18,49,9,1,3,69,21,2,1,11,1,3,0,51,5,0.24100000000000002,0.34,0.251
2,2007,北海道日本ハム,57,146,133,7,27,2,1,0,31,13,0,2,7,1,5,0,27,0,0.203,0.233,0.23
3,2008,北海道日本ハム,97,285,248,24,52,14,0,1,69,18,0,1,22,2,12,1,49,4,0.21,0.278,0.247
4,2009,北海道日本ハム,122,304,263,25,58,14,1,1,77,29,1,1,17,2,20,2,48,6,0.221,0.293,0.27899999999999997
5,2010,北海道日本ハム,105,284,254,21,60,12,0,3,81,26,0,0,22,3,4,1,32,6,0.23600000000000002,0.319,0.248
6,2011,北海道日本ハム,76,202,185,12,44,9,1,1,58,15,1,2,12,1,3,1,24,2,0.23800000000000002,0.314,0.253
7,2012,北海道日本ハム,116,328,289,22,77,10,1,0,89,25,3,2,23,1,14,1,41,11,0.266,0.308,0.302
8,2013,北海道日本ハム,114,276,244,22,72,9,0,2,87,26,1,1,13,1,16,2,28,7,0.295,0.35700000000000004,0.342
9,2014,福岡ソフトバンク,98,190,162,12,35,4,3,0,45,25,0,2,17,4,7,0,23,5,0.21600000000000003,0.278,0.243
10,2015,福岡ソフトバンク,56,142,128,7,25,3,1,1,33,9,1,0,5,2,7,0,17,2,0.195,0.258,0.23399999999999999
11,2016,福岡ソフトバンク,103,263,231,14,58,12,2,2,80,26,1,0,20,1,9,2,26,9,0.251,0.34600000000000003,0.284
12,2017,福岡ソフトバンク,29,32,28,6,9,0,0,3,18,5,0,0,1,0,3,0,3,1,0.321,0.643,0.387
13,2018,北海道日本ハム,101,260,239,13,58,9,0,2,73,22,1,1,4,0,14,3,45,5,0.243,0.305,0.293
14,2019,北海道日本ハム,35,69,62,4,11,2,0,1,16,4,0,0,4,0,3,0,13,2,0.177,0.258,0.215
15,2020,北海道日本ハム,18,17,17,0,5,0,0,0,5,2,0,0,0,0,0,0,2,0,0.294,0.294,0.294
16,2021,北海道日本ハム,13,20,19,3,5,1,0,0,6,0,0,0,0,0,1,0,3,1,0.263,0.316,0.3
17,nan,通　算,1220,3044,2713,211,646,110,11,20,838,267,12,13,178,19,121,13,433,66,0.23800000000000002,0.309,0.272
