,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2014,北海道日本ハム,2,6,5,0,1,0,0,0,1,0,0,0,0,0,1,0,3,0,0.2,0.2,0.33299999999999996
1,2015,北海道日本ハム,9,13,13,0,2,0,0,0,2,0,0,0,0,0,0,0,4,0,0.154,0.154,0.154
2,2016,北海道日本ハム,1,3,3,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0.33299999999999996,1.3330000000000002,0.33299999999999996
3,2017,北海道日本ハム,22,35,30,4,4,1,1,0,7,2,0,0,2,0,3,0,13,0,0.133,0.233,0.212
4,2018,北海道日本ハム,60,183,161,17,39,7,0,7,67,14,1,0,8,1,11,2,43,7,0.242,0.41600000000000004,0.297
5,2019,北海道日本ハム,132,543,481,60,126,16,5,11,185,58,0,2,3,5,48,6,120,8,0.262,0.385,0.33299999999999996
6,2020,北海道日本ハム,117,465,414,49,117,13,4,6,156,39,4,2,5,3,43,0,81,9,0.28300000000000003,0.377,0.348
7,2021,北海道日本ハム,83,325,281,21,68,13,0,3,90,29,5,1,4,3,30,7,72,12,0.242,0.32,0.327
8,2022,北海道日本ハム,21,64,60,11,14,4,2,0,22,2,0,0,0,0,3,1,17,1,0.233,0.36700000000000005,0.281
9,nan,通　算,447,1637,1448,163,372,54,12,28,534,145,10,5,22,12,139,16,353,37,0.257,0.369,0.326
