,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2011,北海道日本ハム,50,110,92,9,17,3,1,0,22,7,7,3,11,0,5,2,21,1,0.185,0.239,0.242
1,2012,北海道日本ハム,58,133,115,11,27,3,1,2,38,12,4,2,8,2,7,1,18,1,0.235,0.33,0.28
2,2013,北海道日本ハム,55,165,141,11,28,5,1,0,35,8,0,1,11,0,12,1,24,2,0.19899999999999998,0.248,0.266
3,2014,北海道日本ハム,87,146,123,21,25,4,2,2,39,9,11,1,11,0,8,4,19,1,0.203,0.317,0.27399999999999997
4,2015,北海道日本ハム,84,192,166,25,49,5,2,1,61,12,8,7,9,1,9,7,28,1,0.295,0.36700000000000005,0.355
5,2016,北海道日本ハム,62,138,104,11,25,5,1,0,32,9,4,2,23,0,11,0,23,1,0.24,0.308,0.313
6,2017,北海道日本ハム,35,85,75,5,11,2,1,0,15,3,1,0,5,0,5,0,20,1,0.147,0.2,0.2
7,2018,北海道日本ハム,70,130,104,17,24,4,0,3,37,9,4,2,6,2,12,6,20,2,0.231,0.35600000000000004,0.33899999999999997
8,2019,北海道日本ハム,83,157,134,15,28,4,1,4,46,12,5,1,6,1,13,3,36,2,0.209,0.34299999999999997,0.29100000000000004
9,2020,北海道日本ハム,88,161,131,28,29,8,1,2,45,11,4,1,14,0,12,4,32,2,0.221,0.344,0.306
10,2021,北海道日本ハム,54,93,77,10,9,2,1,2,19,9,2,2,2,0,10,4,27,2,0.11699999999999999,0.247,0.253
11,nan,通　算,726,1510,1262,163,272,45,12,16,389,101,50,22,106,6,104,32,268,16,0.21600000000000003,0.308,0.29100000000000004
