,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2002,西　武,4,7,7,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0.14300000000000002,0.14300000000000002,0.14300000000000002
1,2003,西　武,44,98,89,12,23,3,1,4,40,11,1,2,0,0,5,4,22,0,0.258,0.449,0.327
2,2004,西　武,133,559,502,70,144,22,3,27,253,90,18,2,3,4,39,11,108,7,0.287,0.504,0.349
3,2005,西　武,118,444,405,56,111,21,2,11,169,60,11,3,3,3,22,11,67,17,0.27399999999999997,0.41700000000000004,0.327
4,2006,西　武,105,459,412,76,126,22,1,16,198,63,14,4,0,4,30,13,66,12,0.306,0.48100000000000004,0.368
5,2007,西　武,143,593,533,68,160,28,5,12,234,74,9,4,1,5,41,13,134,15,0.3,0.439,0.361
6,2008,埼玉西武,124,556,486,75,161,32,0,21,256,81,25,5,0,3,55,12,96,15,0.331,0.527,0.41
7,2009,埼玉西武,144,648,560,100,173,31,3,22,276,92,20,12,0,3,75,10,113,17,0.309,0.493,0.39799999999999996
8,2010,埼玉西武,130,579,503,80,158,33,3,20,257,93,15,5,0,11,52,13,97,20,0.314,0.511,0.385
9,2011,埼玉西武,144,633,566,82,168,27,1,16,245,100,21,2,0,11,44,12,93,11,0.297,0.433,0.354
10,2012,埼玉西武,136,567,499,69,155,29,1,13,225,74,7,6,1,6,52,9,76,10,0.311,0.451,0.382
11,2015,オリックス,117,483,417,43,100,19,0,10,149,46,1,2,0,1,53,12,93,10,0.24,0.35700000000000004,0.342
12,2016,オリックス,96,347,314,24,91,23,0,8,138,47,1,0,0,4,26,3,54,7,0.29,0.439,0.34600000000000003
13,2017,オリックス,124,489,431,36,123,19,0,9,169,49,0,0,0,5,46,7,93,11,0.285,0.392,0.36
14,2018,オリックス,77,251,225,13,65,7,0,5,87,34,0,0,1,1,21,3,38,8,0.289,0.387,0.35600000000000004
15,2019,読　売,43,65,54,5,8,4,0,1,15,5,1,0,0,1,9,1,21,1,0.14800000000000002,0.278,0.27699999999999997
16,2020,読　売,100,312,279,19,83,13,0,7,117,29,0,3,0,1,31,1,59,11,0.297,0.419,0.369
17,2021,読　売,81,195,181,11,49,10,0,6,77,26,0,0,1,1,9,3,35,9,0.271,0.425,0.314
18,2022,読　売,62,111,99,5,24,6,0,1,33,20,0,1,0,1,10,1,24,5,0.242,0.33299999999999996,0.315
19,nan,通　算,1925,7396,6562,844,1923,349,20,209,2939,994,144,51,10,65,620,139,1291,187,0.293,0.44799999999999995,0.363
