,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2001,大阪近鉄,9.0,4.0,2.0,0.0,,,1.0,1.0,0.0,0.667,192.0,43.2,46.0,3.0,13.0,3.0,25.0,1.0,0.0,28.0,22.0,4.53
1,2002,大阪近鉄,23.0,8.0,7.0,0.0,,,2.0,0.0,1.0,0.5329999999999999,594.0,141.1,132.0,10.0,42.0,8.0,131.0,4.0,1.0,62.0,58.0,3.69
2,2003,大阪近鉄,27.0,15.0,10.0,0.0,,,11.0,0.0,1.0,0.6,809.0,195.2,201.0,19.0,48.0,3.0,149.0,2.0,0.0,85.0,75.0,3.45
3,2004,大阪近鉄,21.0,15.0,2.0,0.0,,,7.0,1.0,2.0,0.882,647.0,158.2,149.0,13.0,30.0,8.0,123.0,0.0,0.0,57.0,53.0,3.01
4,2005,東北楽天,27.0,9.0,15.0,0.0,0.0,0.0,9.0,0.0,1.0,0.375,796.0,182.1,218.0,19.0,40.0,6.0,124.0,7.0,0.0,113.0,101.0,4.99
5,2006,東北楽天,6.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.33299999999999996,169.0,38.2,43.0,4.0,12.0,1.0,16.0,0.0,0.0,18.0,16.0,3.72
6,2007,東北楽天,16.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,388.0,90,95.0,6.0,23.0,2.0,84.0,0.0,0.0,47.0,34.0,3.4
7,2008,東北楽天,28.0,21.0,4.0,0.0,0.0,0.0,5.0,2.0,3.0,0.84,787.0,201.2,161.0,3.0,36.0,4.0,159.0,4.0,0.0,48.0,42.0,1.87
8,2009,東北楽天,24.0,13.0,6.0,0.0,0.0,0.0,5.0,0.0,1.0,0.684,710.0,169,179.0,15.0,43.0,6.0,121.0,3.0,0.0,62.0,61.0,3.25
9,2010,東北楽天,28.0,10.0,9.0,0.0,0.0,0.0,4.0,1.0,2.0,0.526,821.0,201,184.0,11.0,36.0,12.0,153.0,1.0,1.0,68.0,63.0,2.82
10,2011,東北楽天,17.0,6.0,7.0,0.0,0.0,0.0,2.0,1.0,0.0,0.462,471.0,119,106.0,6.0,19.0,5.0,90.0,1.0,0.0,34.0,32.0,2.42
11,nan,通　算,226.0,107.0,69.0,0.0,0.0,0.0,48.0,6.0,11.0,0.608,6384.0,1541,1514.0,109.0,342.0,58.0,1175.0,23.0,2.0,622.0,557.0,3.25
