,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2013,北海道日本ハム,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0
1,2014,北海道日本ハム,44,93,83,11,19,3,0,1,25,11,0,1,4,0,5,1,25,1,0.22899999999999998,0.301,0.281
2,2015,北海道日本ハム,43,99,87,11,18,4,1,2,30,11,1,1,2,0,9,1,11,2,0.207,0.345,0.289
3,2016,北海道日本ハム,12,28,27,0,2,0,0,0,2,1,0,0,1,0,0,0,5,1,0.07400000000000001,0.07400000000000001,0.07400000000000001
4,2017,読　売,99,251,236,21,57,12,3,5,90,20,2,0,0,0,13,2,51,8,0.242,0.381,0.287
5,2018,読　売,17,28,26,1,5,1,1,0,8,0,0,0,0,0,2,0,6,1,0.192,0.308,0.25
6,2019,読　売,55,76,70,12,18,2,0,4,32,10,0,0,0,0,6,0,14,2,0.257,0.457,0.316
7,2020,読　売,43,47,45,2,11,1,0,2,18,7,0,0,0,0,2,0,12,1,0.244,0.4,0.27699999999999997
8,2021,読　売,26,41,37,3,7,2,0,0,9,0,0,1,0,0,4,0,8,1,0.18899999999999997,0.243,0.268
9,2022,読　売,22,32,29,3,8,3,0,0,11,2,0,0,0,0,3,0,9,0,0.276,0.379,0.344
10,nan,通　算,365,700,645,64,145,28,5,14,225,62,3,3,7,0,44,4,144,17,0.225,0.349,0.278
