,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2003,広島東洋,3.0,1.0,1.0,0.0,,,0.0,0.0,0.0,0.5,36.0,8,9.0,2.0,3.0,0.0,5.0,0.0,0.0,6.0,5.0,5.63
1,2004,広島東洋,43.0,6.0,5.0,17.0,,,1.0,0.0,0.0,0.545,351.0,82,68.0,11.0,40.0,4.0,91.0,2.0,0.0,33.0,29.0,3.18
2,2005,広島東洋,28.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.455,734.0,161.2,171.0,22.0,87.0,7.0,161.0,9.0,4.0,110.0,101.0,5.62
3,2006,広島東洋,30.0,6.0,13.0,0.0,0.0,0.0,2.0,0.0,1.0,0.316,682.0,157,172.0,25.0,54.0,2.0,110.0,4.0,0.0,92.0,86.0,4.93
4,2007,広島東洋,27.0,9.0,10.0,0.0,0.0,0.0,3.0,1.0,0.0,0.474,623.0,145.2,137.0,15.0,59.0,6.0,104.0,11.0,0.0,72.0,61.0,3.77
5,2008,広島東洋,28.0,9.0,13.0,0.0,1.0,1.0,3.0,1.0,0.0,0.409,752.0,171,189.0,19.0,67.0,5.0,99.0,6.0,1.0,89.0,73.0,3.84
6,2009,広島東洋,29.0,10.0,8.0,0.0,0.0,0.0,5.0,3.0,1.0,0.556,781.0,185.2,177.0,10.0,60.0,4.0,127.0,10.0,1.0,72.0,58.0,2.81
7,2010,広島東洋,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,86.0,18,22.0,2.0,10.0,2.0,9.0,1.0,0.0,10.0,10.0,5.0
8,2011,広島東洋,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,129.0,31.2,28.0,1.0,7.0,0.0,15.0,0.0,0.0,7.0,6.0,1.71
9,2012,広島東洋,24.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.688,618.0,144.2,144.0,6.0,43.0,5.0,85.0,3.0,0.0,44.0,38.0,2.36
10,2013,広島東洋,25.0,10.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,675.0,163,152.0,13.0,49.0,4.0,100.0,4.0,0.0,64.0,61.0,3.37
11,2014,読　売,22.0,9.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6,546.0,129,127.0,13.0,34.0,4.0,79.0,4.0,0.0,60.0,57.0,3.98
12,2015,読　売,11.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.429,227.0,56,56.0,5.0,11.0,0.0,35.0,0.0,0.0,21.0,20.0,3.21
13,2016,読　売,17.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,393.0,91.1,91.0,6.0,30.0,1.0,71.0,3.0,0.0,40.0,36.0,3.55
14,2017,読　売,13.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,300.0,69,75.0,9.0,18.0,3.0,50.0,0.0,1.0,41.0,39.0,5.09
15,2018,読　売,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,42.0,9,13.0,2.0,2.0,0.0,5.0,0.0,0.0,6.0,6.0,6.0
16,2019,読　売,32.0,4.0,0.0,0.0,8.0,12.0,0.0,0.0,0.0,1.0,111.0,26,26.0,2.0,8.0,0.0,24.0,1.0,0.0,9.0,8.0,2.77
17,2020,読　売,29.0,1.0,2.0,0.0,16.0,17.0,0.0,0.0,0.0,0.33299999999999996,100.0,24.1,20.0,3.0,9.0,1.0,16.0,0.0,0.0,9.0,7.0,2.59
18,nan,通　算,372.0,102.0,101.0,17.0,25.0,30.0,16.0,5.0,2.0,0.502,7186.0,1673,1677.0,166.0,591.0,48.0,1186.0,58.0,7.0,785.0,701.0,3.77
