,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2012,千葉ロッテ,21.0,6.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.462,508.0,115.1,113.0,9.0,51.0,4.0,83.0,2.0,0.0,48.0,43.0,3.36
1,2013,千葉ロッテ,39.0,6.0,10.0,0.0,3.0,6.0,0.0,0.0,0.0,0.375,509.0,118.1,116.0,9.0,46.0,6.0,76.0,1.0,0.0,54.0,52.0,3.95
2,2014,千葉ロッテ,27.0,6.0,10.0,0.0,1.0,1.0,1.0,0.0,0.0,0.375,584.0,132.2,142.0,19.0,51.0,4.0,97.0,6.0,2.0,71.0,66.0,4.48
3,2015,千葉ロッテ,31.0,2.0,2.0,0.0,6.0,8.0,0.0,0.0,0.0,0.5,234.0,54.2,51.0,4.0,20.0,4.0,52.0,4.0,0.0,25.0,23.0,3.79
4,2016,千葉ロッテ,32.0,1.0,1.0,0.0,6.0,7.0,0.0,0.0,0.0,0.5,179.0,42.1,35.0,6.0,17.0,1.0,32.0,1.0,0.0,18.0,12.0,2.55
5,2017,千葉ロッテ,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,8.2,14.0,2.0,12.0,1.0,5.0,0.0,0.0,16.0,16.0,16.62
6,2018,北海道日本ハム,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,9.2,12.0,0.0,8.0,0.0,6.0,1.0,0.0,7.0,7.0,6.52
7,2019,北海道日本ハム,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3,4.0,0.0,5.0,0.0,2.0,0.0,0.0,5.0,5.0,15.0
8,2020,読　売,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,8.2,7.0,1.0,6.0,1.0,6.0,1.0,0.0,3.0,3.0,3.12
9,nan,通　算,178.0,21.0,32.0,0.0,16.0,22.0,2.0,0.0,0.0,0.396,2168.0,493.1,494.0,50.0,216.0,21.0,359.0,16.0,2.0,247.0,227.0,4.14
