,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2010,広島東洋,14,22,19,1,3,0,0,0,3,1,1,0,0,1,2,0,7,0,0.158,0.158,0.22699999999999998
1,2011,広島東洋,131,495,435,48,105,16,4,9,156,50,9,6,9,1,44,6,105,2,0.24100000000000002,0.359,0.319
2,2012,広島東洋,106,339,283,26,70,10,4,4,100,22,14,6,5,3,46,2,59,4,0.247,0.353,0.353
3,2013,広島東洋,140,601,506,82,138,25,5,14,215,58,29,15,5,4,85,1,103,6,0.273,0.425,0.376
4,2014,広島東洋,144,644,536,106,166,30,5,19,263,67,26,11,0,4,100,4,95,12,0.31,0.491,0.419
5,2015,広島東洋,143,633,530,81,132,28,1,19,219,63,15,7,4,4,94,1,143,4,0.249,0.413,0.361
6,2016,広島東洋,143,652,557,98,162,30,8,20,268,90,23,9,1,3,84,7,107,9,0.29100000000000004,0.48100000000000004,0.389
7,2017,広島東洋,143,651,556,109,171,35,3,23,281,92,13,3,2,6,83,4,113,6,0.308,0.505,0.39799999999999996
8,2018,広島東洋,125,566,432,109,132,22,0,39,271,97,10,10,0,1,130,3,130,5,0.306,0.627,0.46799999999999997
9,2019,読　売,143,631,535,82,156,26,1,27,265,89,12,5,0,7,86,3,125,15,0.292,0.495,0.38799999999999996
10,2020,読　売,120,491,423,63,120,31,1,27,234,77,8,4,3,2,63,0,101,3,0.284,0.5529999999999999,0.375
11,2021,読　売,118,457,392,58,104,21,0,23,194,55,5,3,0,2,63,0,120,5,0.265,0.495,0.365
12,nan,通　算,1470,6182,5204,863,1459,274,32,224,2469,761,165,79,29,38,880,31,1208,71,0.28,0.474,0.385
