,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2007,北海道日本ハム,55,116,109,12,26,8,2,0,38,10,3,2,4,0,2,1,30,0,0.239,0.349,0.259
1,2008,北海道日本ハム,44,123,111,7,16,0,1,2,24,4,1,0,4,1,6,1,31,3,0.14400000000000002,0.21600000000000003,0.193
2,2009,北海道日本ハム,15,13,11,2,2,0,0,0,2,0,0,0,1,0,1,0,3,0,0.182,0.182,0.25
3,2010,北海道日本ハム,109,281,253,35,62,12,3,2,86,31,8,1,10,2,12,4,70,4,0.245,0.34,0.28800000000000003
4,2011,北海道日本ハム,141,603,537,66,147,23,4,6,196,36,19,2,38,1,22,5,134,5,0.27399999999999997,0.365,0.308
5,2012,北海道日本ハム,144,599,533,71,153,28,5,7,212,55,17,6,18,5,37,6,123,10,0.287,0.39799999999999996,0.337
6,2013,北海道日本ハム,144,658,574,93,162,27,2,18,247,67,47,10,4,2,69,9,142,9,0.282,0.43,0.36700000000000005
7,2014,北海道日本ハム,125,540,471,77,138,18,1,25,233,85,20,6,9,3,45,12,108,10,0.293,0.495,0.36700000000000005
8,2015,北海道日本ハム,86,381,352,47,91,10,2,7,126,36,14,2,2,2,21,4,93,4,0.259,0.358,0.306
9,2016,北海道日本ハム,130,555,495,66,145,24,1,14,213,61,5,6,7,1,42,10,121,10,0.293,0.43,0.359
10,2017,読　売,87,381,330,46,87,18,1,9,134,33,4,2,2,1,41,7,80,6,0.264,0.406,0.35600000000000004
11,2018,読　売,87,276,253,24,62,12,2,10,108,37,2,2,3,1,17,2,72,7,0.245,0.42700000000000005,0.297
12,2019,読　売,110,231,208,28,57,8,1,4,79,21,0,1,0,0,22,1,66,9,0.27399999999999997,0.38,0.34600000000000003
13,2020,読　売,38,77,63,12,15,1,0,1,19,6,1,0,0,2,9,3,21,1,0.23800000000000002,0.302,0.35100000000000003
14,nan,通　算,1315,4834,4300,586,1163,189,25,105,1717,482,141,40,102,21,346,65,1094,78,0.27,0.39899999999999997,0.33299999999999996
