,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2012,読　売,34.0,2.0,0.0,1.0,10.0,12.0,0.0,0.0,0.0,1.0,121.0,31.1,16.0,0.0,10.0,1.0,28.0,1.0,0.0,2.0,2.0,0.57
1,2013,読　売,46.0,3.0,0.0,0.0,6.0,9.0,0.0,0.0,0.0,1.0,209.0,47.2,37.0,8.0,27.0,3.0,40.0,1.0,0.0,27.0,23.0,4.34
2,2014,読　売,26.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,116.0,28.1,24.0,4.0,9.0,1.0,26.0,0.0,0.0,15.0,15.0,4.76
3,2015,読　売,33.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,167.0,41,31.0,4.0,13.0,0.0,43.0,1.0,0.0,10.0,10.0,2.2
4,2018,読　売,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,5,8.0,0.0,4.0,0.0,1.0,0.0,0.0,7.0,7.0,12.6
5,2019,読　売,55.0,3.0,1.0,0.0,10.0,13.0,0.0,0.0,0.0,0.75,220.0,54,51.0,11.0,13.0,0.0,48.0,1.0,0.0,23.0,23.0,3.83
6,2020,読　売,17.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,49.0,12.1,11.0,1.0,2.0,0.0,12.0,2.0,0.0,5.0,5.0,3.65
7,2021,読　売,15.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,81.0,18.1,22.0,1.0,7.0,0.0,15.0,0.0,0.0,9.0,9.0,4.42
8,2022,読　売,17.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,86.0,19.1,19.0,1.0,8.0,0.0,13.0,1.0,0.0,9.0,6.0,2.79
9,nan,通　算,246.0,10.0,3.0,2.0,38.0,48.0,0.0,0.0,0.0,0.769,1077.0,257.1,219.0,30.0,93.0,5.0,226.0,7.0,0.0,107.0,100.0,3.5
