,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2013,読　売,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,69.0,17,18.0,2.0,4.0,0.0,14.0,0.0,0.0,4.0,4.0,2.12
1,2014,読　売,13.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.667,172.0,36.1,47.0,9.0,14.0,2.0,19.0,3.0,0.0,29.0,25.0,6.19
2,2016,読　売,16.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.429,346.0,77.1,87.0,11.0,36.0,2.0,60.0,3.0,0.0,49.0,48.0,5.59
3,2017,読　売,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,6.1,12.0,1.0,3.0,1.0,6.0,0.0,0.0,5.0,4.0,5.68
4,2018,読　売,13.0,6.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.75,328.0,77,80.0,8.0,26.0,3.0,51.0,2.0,0.0,34.0,33.0,3.86
5,2019,読　売,17.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,349.0,81.2,82.0,9.0,26.0,8.0,54.0,1.0,0.0,39.0,37.0,4.08
6,2020,読　売,12.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7140000000000001,260.0,62.2,53.0,8.0,21.0,2.0,55.0,0.0,0.0,23.0,22.0,3.16
7,2021,読　売,17.0,3.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,0.429,274.0,63,66.0,5.0,22.0,3.0,59.0,0.0,0.0,21.0,19.0,2.71
8,2022,読　売,55.0,2.0,4.0,0.0,21.0,23.0,0.0,0.0,0.0,0.33299999999999996,227.0,53,45.0,3.0,22.0,4.0,34.0,1.0,0.0,24.0,21.0,3.57
9,nan,通　算,149.0,25.0,22.0,0.0,22.0,25.0,2.0,2.0,1.0,0.532,2059.0,474.1,490.0,56.0,174.0,25.0,352.0,10.0,0.0,228.0,213.0,4.04
