,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2013,読　売,27.0,13.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.684,729.0,176,166.0,10.0,37.0,5.0,155.0,2.0,0.0,70.0,61.0,3.12
1,2014,読　売,23.0,12.0,5.0,0.0,0.0,0.0,3.0,0.0,1.0,0.706,640.0,158.2,138.0,12.0,36.0,2.0,122.0,6.0,0.0,50.0,41.0,2.33
2,2015,読　売,25.0,10.0,11.0,0.0,0.0,0.0,6.0,2.0,0.0,0.47600000000000003,710.0,179,148.0,10.0,41.0,7.0,126.0,3.0,0.0,46.0,38.0,1.91
3,2016,読　売,26.0,9.0,6.0,0.0,0.0,0.0,5.0,2.0,3.0,0.6,726.0,183.1,156.0,12.0,26.0,4.0,189.0,1.0,0.0,46.0,41.0,2.01
4,2017,読　売,25.0,17.0,5.0,0.0,0.0,0.0,6.0,4.0,3.0,0.773,713.0,187.1,129.0,10.0,31.0,1.0,171.0,1.0,0.0,36.0,33.0,1.59
5,2018,読　売,28.0,15.0,8.0,0.0,0.0,0.0,10.0,8.0,4.0,0.652,801.0,202,166.0,14.0,37.0,3.0,200.0,3.0,0.0,52.0,48.0,2.14
6,2019,読　売,22.0,11.0,6.0,0.0,0.0,0.0,3.0,1.0,1.0,0.647,577.0,136.1,138.0,20.0,32.0,3.0,120.0,0.0,0.0,65.0,59.0,3.89
7,2020,読　売,20.0,14.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.875,532.0,137.1,97.0,8.0,25.0,7.0,131.0,2.0,0.0,33.0,30.0,1.97
8,2021,読　売,19.0,6.0,7.0,0.0,0.0,0.0,2.0,1.0,0.0,0.462,465.0,115.2,90.0,15.0,25.0,7.0,102.0,1.0,0.0,41.0,41.0,3.19
9,nan,通　算,215.0,107.0,56.0,0.0,0.0,0.0,39.0,21.0,12.0,0.6559999999999999,5893.0,1475.2,1228.0,111.0,290.0,39.0,1316.0,19.0,0.0,439.0,392.0,2.39
