,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2013,北海道日本ハム,38.0,2.0,3.0,1.0,5.0,7.0,0.0,0.0,0.0,0.4,231.0,54,41.0,4.0,33.0,1.0,42.0,1.0,0.0,21.0,20.0,3.33
1,2014,北海道日本ハム,21.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,119.0,28.2,25.0,4.0,10.0,2.0,27.0,0.0,0.0,9.0,7.0,2.2
2,2015,北海道日本ハム,40.0,5.0,3.0,0.0,15.0,20.0,0.0,0.0,0.0,0.625,159.0,34.2,45.0,3.0,12.0,1.0,32.0,1.0,0.0,23.0,18.0,4.67
3,2016,北海道日本ハム,48.0,5.0,3.0,3.0,3.0,8.0,0.0,0.0,0.0,0.625,187.0,44.2,37.0,3.0,21.0,0.0,38.0,4.0,0.0,23.0,21.0,4.23
4,2017,北海道日本ハム,60.0,2.0,3.0,1.0,17.0,19.0,0.0,0.0,0.0,0.4,218.0,57,33.0,6.0,17.0,0.0,46.0,0.0,0.0,23.0,16.0,2.53
5,2018,北海道日本ハム,28.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,128.0,27.1,33.0,2.0,12.0,1.0,22.0,1.0,0.0,14.0,13.0,4.28
6,2019,北海道日本ハム,18.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,77.0,16.2,16.0,0.0,12.0,0.0,16.0,0.0,0.0,11.0,11.0,5.94
7,2019,読　売,27.0,0.0,2.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,117.0,27,21.0,4.0,18.0,0.0,11.0,0.0,0.0,11.0,9.0,3.0
8,2020,読　売,46.0,3.0,1.0,0.0,13.0,16.0,0.0,0.0,0.0,0.75,148.0,37.1,25.0,2.0,13.0,1.0,40.0,0.0,0.0,12.0,12.0,2.89
9,nan,通　算,326.0,18.0,15.0,5.0,64.0,82.0,0.0,0.0,0.0,0.545,1384.0,327.1,276.0,28.0,148.0,6.0,274.0,7.0,0.0,147.0,127.0,3.49
