,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2006,横　浜,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33299999999999996,93.0,21,22.0,8.0,8.0,2.0,17.0,0.0,0.0,15.0,15.0,6.43
1,2007,横　浜,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,20,21.0,4.0,10.0,1.0,14.0,1.0,0.0,16.0,14.0,6.3
2,2008,横　浜,16.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.5,96.0,23.2,10.0,1.0,16.0,1.0,28.0,2.0,0.0,2.0,2.0,0.76
3,2009,横　浜,51.0,5.0,4.0,18.0,7.0,12.0,0.0,0.0,0.0,0.556,223.0,55,44.0,7.0,17.0,4.0,68.0,5.0,0.0,22.0,20.0,3.27
4,2010,横　浜,54.0,2.0,8.0,30.0,2.0,4.0,0.0,0.0,0.0,0.2,282.0,68.2,57.0,6.0,24.0,1.0,78.0,3.0,0.0,20.0,20.0,2.62
5,2011,横　浜,59.0,2.0,6.0,34.0,1.0,3.0,0.0,0.0,0.0,0.25,253.0,61.1,46.0,5.0,19.0,4.0,48.0,3.0,0.0,20.0,17.0,2.49
6,2012,横浜DeNA,60.0,1.0,2.0,22.0,3.0,4.0,0.0,0.0,0.0,0.33299999999999996,258.0,62,46.0,1.0,22.0,5.0,62.0,2.0,0.0,13.0,12.0,1.74
7,2013,横浜DeNA,44.0,5.0,2.0,7.0,6.0,11.0,0.0,0.0,0.0,0.7140000000000001,202.0,46.2,46.0,6.0,16.0,2.0,48.0,5.0,0.0,28.0,28.0,5.4
8,2014,横浜DeNA,33.0,8.0,5.0,0.0,3.0,3.0,3.0,2.0,1.0,0.615,536.0,124,107.0,5.0,60.0,3.0,96.0,5.0,0.0,58.0,40.0,2.9
9,2015,横浜DeNA,20.0,3.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.33299999999999996,508.0,114.1,127.0,13.0,42.0,3.0,119.0,6.0,1.0,67.0,57.0,4.49
10,2016,横浜DeNA,19.0,11.0,5.0,0.0,0.0,0.0,5.0,3.0,0.0,0.688,570.0,138.2,112.0,10.0,44.0,4.0,121.0,5.0,0.0,48.0,44.0,2.86
11,2017,読　売,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,97.0,21,24.0,5.0,16.0,1.0,22.0,1.0,1.0,15.0,15.0,6.43
12,2018,読　売,30.0,9.0,9.0,1.0,1.0,2.0,6.0,2.0,0.0,0.5,644.0,154,127.0,18.0,60.0,9.0,144.0,4.0,0.0,66.0,63.0,3.68
13,2019,読　売,26.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.789,705.0,170,137.0,8.0,60.0,13.0,188.0,4.0,0.0,60.0,55.0,2.91
14,2021,読　売,15.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,337.0,78.1,66.0,6.0,37.0,3.0,83.0,0.0,0.0,34.0,31.0,3.56
15,2022,読　売,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
16,nan,通　算,443.0,66.0,66.0,112.0,25.0,42.0,16.0,7.0,1.0,0.5,4906.0,1160.2,992.0,103.0,453.0,56.0,1140.0,46.0,2.0,484.0,433.0,3.36
