,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2007,読　売,4,3,3,1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0.33299999999999996,0.33299999999999996,0.33299999999999996
1,2008,読　売,144,567,521,59,134,24,1,8,184,43,10,5,15,1,28,2,98,2,0.257,0.353,0.297
2,2009,読　売,141,640,581,87,178,33,3,18,271,62,5,3,7,4,44,4,101,8,0.306,0.466,0.35700000000000004
3,2010,読　売,144,676,609,107,171,35,4,31,307,85,14,4,10,7,47,3,83,6,0.281,0.504,0.332
4,2011,読　売,144,624,568,69,149,27,2,16,228,59,8,1,10,3,37,6,91,3,0.262,0.401,0.313
5,2012,読　売,144,619,557,87,173,35,2,14,254,69,16,1,12,5,39,6,90,5,0.311,0.456,0.359
6,2013,読　売,144,620,554,73,147,33,1,12,218,54,24,4,4,3,55,4,87,11,0.265,0.39399999999999996,0.33399999999999996
7,2014,読　売,144,616,545,82,152,29,0,16,229,61,23,5,9,5,55,2,88,3,0.27899999999999997,0.42,0.344
8,2015,読　売,130,558,479,50,129,21,3,12,192,68,10,4,9,5,65,0,79,5,0.26899999999999996,0.401,0.353
9,2016,読　売,137,576,488,96,168,28,3,23,271,75,13,3,1,6,81,0,67,6,0.344,0.555,0.433
10,2017,読　売,142,614,539,82,157,30,0,15,232,61,14,6,1,3,68,3,85,16,0.29100000000000004,0.43,0.37200000000000005
11,2018,読　売,109,502,441,87,152,27,2,18,237,67,9,5,0,0,61,0,83,4,0.345,0.537,0.424
12,2019,読　売,143,639,555,103,173,26,0,40,319,94,5,3,3,2,77,2,123,9,0.312,0.575,0.396
13,2020,読　売,115,479,412,64,119,28,1,19,206,65,4,1,1,4,62,0,85,9,0.289,0.5,0.379
14,2021,読　売,117,487,424,53,115,26,0,19,198,46,2,3,2,2,58,1,90,4,0.271,0.467,0.359
15,2022,読　売,83,352,304,35,87,14,0,5,116,33,2,2,0,2,45,1,65,3,0.28600000000000003,0.382,0.37799999999999995
16,nan,通　算,1985,8572,7580,1135,2205,416,22,266,3463,944,160,50,84,52,822,34,1315,94,0.29100000000000004,0.457,0.361
