,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2009,北海道日本ハム,22,38,36,3,10,2,0,0,12,1,0,0,0,1,1,0,15,0,0.278,0.33299999999999996,0.289
1,2010,北海道日本ハム,65,230,210,20,49,5,1,9,83,22,0,0,0,2,15,3,61,8,0.233,0.395,0.29100000000000004
2,2011,北海道日本ハム,143,572,527,49,125,32,2,18,215,91,4,0,0,8,31,6,133,12,0.237,0.408,0.28300000000000003
3,2012,北海道日本ハム,144,606,547,79,131,25,1,24,230,77,5,4,0,4,50,5,101,8,0.239,0.42,0.307
4,2013,北海道日本ハム,108,459,407,67,124,14,1,28,224,73,1,2,0,1,45,6,77,11,0.305,0.55,0.381
5,2014,北海道日本ハム,144,602,531,64,143,18,0,27,242,100,0,0,0,7,58,6,89,12,0.26899999999999996,0.456,0.344
6,2015,北海道日本ハム,143,611,539,72,142,26,0,30,258,102,1,0,0,7,64,1,120,11,0.263,0.479,0.33899999999999997
7,2016,北海道日本ハム,141,624,569,61,142,26,1,25,245,110,2,1,0,5,47,3,126,14,0.25,0.431,0.308
8,2017,北海道日本ハム,129,542,472,56,102,23,0,16,173,67,0,1,0,4,61,5,103,14,0.21600000000000003,0.36700000000000005,0.31
9,2018,北海道日本ハム,140,599,540,61,143,32,0,25,250,106,0,1,0,13,43,3,81,24,0.265,0.46299999999999997,0.316
10,2019,北海道日本ハム,124,514,450,55,109,21,0,24,202,80,0,0,0,4,55,5,83,16,0.242,0.449,0.32899999999999996
11,2020,北海道日本ハム,119,506,440,52,105,18,0,31,216,108,1,0,0,9,55,2,109,19,0.239,0.491,0.32
12,2021,北海道日本ハム,39,150,135,13,26,3,0,4,41,13,0,0,0,0,14,1,31,4,0.193,0.304,0.273
13,2021,読　売,34,106,91,6,14,4,0,3,27,7,0,0,0,0,14,1,29,3,0.154,0.297,0.27399999999999997
14,2022,読　売,109,375,338,39,91,8,0,24,171,68,0,0,2,4,27,4,72,9,0.26899999999999996,0.506,0.327
15,nan,通　算,1604,6534,5832,697,1456,257,6,288,2589,1025,14,9,2,69,580,51,1230,165,0.25,0.444,0.32
