,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2013,横浜DeNA,18.0,5.0,7.0,0.0,2.0,2.0,1.0,0.0,0.0,0.41700000000000004,401.0,89.1,101.0,7.0,35.0,2.0,66.0,1.0,0.0,56.0,53.0,5.34
1,2014,横浜DeNA,25.0,11.0,9.0,0.0,0.0,0.0,3.0,1.0,1.0,0.55,682.0,159.1,163.0,18.0,49.0,7.0,104.0,8.0,0.0,83.0,71.0,4.01
2,2015,横浜DeNA,21.0,5.0,8.0,0.0,0.0,0.0,3.0,0.0,1.0,0.385,598.0,134.2,164.0,13.0,40.0,3.0,92.0,7.0,1.0,56.0,49.0,3.27
3,2016,横浜DeNA,23.0,7.0,11.0,0.0,0.0,0.0,2.0,1.0,0.0,0.389,654.0,151.2,156.0,14.0,47.0,6.0,113.0,6.0,0.0,65.0,59.0,3.5
4,2017,横浜DeNA,25.0,6.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.375,636.0,152.1,147.0,9.0,46.0,8.0,93.0,3.0,0.0,66.0,65.0,3.84
5,2018,横浜DeNA,24.0,6.0,3.0,1.0,8.0,10.0,0.0,0.0,0.0,0.667,256.0,61,60.0,5.0,16.0,2.0,44.0,2.0,0.0,27.0,24.0,3.54
6,2019,横浜DeNA,15.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444,309.0,70,74.0,5.0,28.0,3.0,50.0,3.0,1.0,43.0,37.0,4.76
7,2020,横浜DeNA,17.0,6.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.462,384.0,89,98.0,10.0,26.0,1.0,69.0,2.0,0.0,41.0,39.0,3.94
8,2021,読　売,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,5,11.0,3.0,1.0,0.0,5.0,0.0,0.0,8.0,8.0,14.4
9,nan,通　算,173.0,50.0,61.0,1.0,10.0,12.0,11.0,2.0,2.0,0.45,3946.0,912.1,974.0,84.0,288.0,32.0,636.0,32.0,2.0,445.0,405.0,4.0
