,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2009,埼玉西武,25.0,3.0,5.0,1.0,3.0,4.0,0.0,0.0,0.0,0.375,247.0,56.2,60.0,9.0,23.0,2.0,33.0,4.0,0.0,29.0,28.0,4.45
1,2010,埼玉西武,27.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.5,319.0,68.1,92.0,9.0,23.0,4.0,40.0,4.0,0.0,40.0,39.0,5.14
2,2011,埼玉西武,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.1,8.0,2.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,10.38
3,2012,埼玉西武,23.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.615,496.0,115.1,128.0,8.0,36.0,5.0,49.0,4.0,0.0,42.0,38.0,2.97
4,2013,埼玉西武,30.0,11.0,7.0,0.0,1.0,4.0,0.0,0.0,0.0,0.611,643.0,152.2,141.0,17.0,41.0,8.0,93.0,3.0,0.0,71.0,67.0,3.95
5,2014,埼玉西武,25.0,8.0,10.0,0.0,1.0,2.0,2.0,0.0,0.0,0.444,522.0,120.1,123.0,15.0,42.0,5.0,68.0,6.0,0.0,68.0,60.0,4.49
6,2015,埼玉西武,27.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,565.0,134.1,127.0,15.0,46.0,4.0,77.0,1.0,0.0,68.0,63.0,4.22
7,2016,埼玉西武,22.0,3.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.25,474.0,107,112.0,10.0,43.0,5.0,62.0,3.0,0.0,56.0,46.0,3.87
8,2017,埼玉西武,24.0,11.0,10.0,0.0,0.0,0.0,2.0,1.0,0.0,0.524,577.0,144,128.0,10.0,24.0,5.0,113.0,2.0,0.0,62.0,58.0,3.63
9,2018,読　売,25.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,300.0,71.1,74.0,15.0,21.0,2.0,54.0,3.0,0.0,38.0,38.0,4.79
10,2019,読　売,13.0,1.0,2.0,1.0,3.0,4.0,0.0,0.0,0.0,0.33299999999999996,81.0,18,19.0,1.0,6.0,0.0,16.0,1.0,0.0,10.0,7.0,3.5
11,nan,通　算,245.0,58.0,62.0,3.0,11.0,18.0,4.0,1.0,0.0,0.483,4244.0,992.1,1012.0,111.0,305.0,40.0,608.0,31.0,0.0,489.0,449.0,4.07
