,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2005,読　売,20,45,42,1,6,2,0,0,8,1,0,0,1,0,1,1,15,0,0.14300000000000002,0.19,0.182
1,2006,読　売,65,151,141,13,29,12,1,3,52,18,1,0,1,3,5,1,38,2,0.20600000000000002,0.369,0.233
2,2007,読　売,20,23,19,3,3,1,0,1,7,3,1,0,0,1,3,0,7,0,0.158,0.368,0.261
3,2008,読　売,96,298,276,41,74,21,3,5,116,23,7,5,5,0,14,3,43,5,0.268,0.42,0.311
4,2009,読　売,134,547,490,79,142,25,4,25,250,71,12,7,4,3,45,5,74,7,0.29,0.51,0.354
5,2010,読　売,71,220,205,22,38,13,0,5,66,17,4,2,1,2,9,3,38,4,0.185,0.322,0.228
6,2011,読　売,111,308,284,27,70,13,2,3,96,24,7,1,8,1,14,1,43,5,0.24600000000000002,0.33799999999999997,0.28300000000000003
7,2012,読　売,60,117,110,12,26,7,3,2,45,11,0,0,2,0,4,1,13,3,0.23600000000000002,0.409,0.27
8,2013,読　売,86,324,296,31,76,17,0,3,102,25,3,2,9,1,17,1,36,5,0.257,0.345,0.298
9,2014,読　売,69,268,240,31,71,17,1,8,114,26,3,1,4,2,19,3,30,4,0.29600000000000004,0.475,0.35200000000000004
10,2015,読　売,109,432,382,42,104,21,0,6,143,35,8,1,3,6,40,1,59,6,0.272,0.374,0.33799999999999997
11,2016,読　売,66,240,226,21,57,14,0,3,80,23,0,2,3,0,11,0,35,7,0.252,0.354,0.287
12,2017,読　売,109,277,247,20,62,16,0,6,96,47,1,0,0,2,27,1,38,4,0.251,0.389,0.325
13,2018,読　売,123,461,422,47,107,20,0,13,166,49,4,0,0,1,36,2,70,6,0.254,0.39299999999999996,0.315
14,2019,読　売,131,503,450,67,128,27,2,13,198,55,9,1,3,5,45,0,91,6,0.284,0.44,0.34600000000000003
15,2020,読　売,51,156,141,21,36,7,0,2,49,17,0,1,1,2,11,1,21,3,0.255,0.348,0.31
16,2021,読　売,92,206,186,15,40,12,1,3,63,17,1,1,2,3,13,2,47,3,0.215,0.33899999999999997,0.27
17,nan,通　算,1413,4576,4157,493,1069,245,17,101,1651,462,61,24,47,32,314,26,698,70,0.257,0.397,0.311
