,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2010,福岡ソフトバンク,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
1,2013,読　売,46,77,74,5,15,1,2,0,20,7,1,0,0,0,3,0,15,0,0.203,0.27,0.23399999999999999
2,2014,読　売,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
3,2015,読　売,91,367,339,36,103,9,3,0,118,14,16,6,3,3,18,4,61,2,0.304,0.348,0.34299999999999997
4,2016,読　売,51,209,188,15,43,6,1,2,57,9,9,3,6,0,10,5,31,1,0.22899999999999998,0.303,0.28600000000000003
5,2017,読　売,62,214,197,24,41,3,3,0,50,10,4,5,6,0,11,0,43,1,0.20800000000000002,0.254,0.25
6,2018,読　売,42,60,52,10,12,0,0,0,12,5,4,0,0,0,7,1,11,2,0.231,0.231,0.33299999999999996
7,2019,読　売,25,16,14,4,4,2,0,0,6,1,3,0,0,0,2,0,4,0,0.28600000000000003,0.429,0.375
8,2020,読　売,29,27,23,5,6,0,1,1,11,4,1,0,0,0,4,0,6,1,0.261,0.478,0.37
9,2021,読　売,47,47,44,2,9,0,0,0,9,1,0,0,0,0,3,0,7,0,0.205,0.205,0.255
10,2022,読　売,54,57,54,11,11,1,0,1,15,3,3,0,0,0,3,0,10,0,0.204,0.278,0.24600000000000002
11,nan,通　算,450,1076,987,113,244,22,10,4,298,54,41,14,15,3,61,10,189,7,0.247,0.302,0.297
