,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2006,西　武,54,146,138,10,25,4,1,3,40,14,0,0,6,0,2,0,33,6,0.18100000000000002,0.29,0.193
1,2007,西　武,28,50,46,3,8,1,1,1,14,7,0,0,1,1,2,0,19,0,0.174,0.304,0.204
2,2008,埼玉西武,46,68,64,5,8,4,0,0,12,5,0,1,1,1,2,0,30,0,0.125,0.188,0.149
3,2009,埼玉西武,112,306,273,22,60,15,0,3,84,25,1,0,14,3,15,1,75,5,0.22,0.308,0.26
4,2010,埼玉西武,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
5,2011,埼玉西武,122,365,317,20,69,7,1,2,84,22,4,1,33,3,11,1,79,6,0.218,0.265,0.244
6,2012,埼玉西武,139,414,360,23,70,12,1,0,84,23,0,2,35,1,17,1,74,9,0.19399999999999998,0.233,0.23199999999999998
7,2013,埼玉西武,141,468,413,28,89,16,0,5,120,43,1,2,19,2,30,4,62,14,0.215,0.29100000000000004,0.27399999999999997
8,2014,埼玉西武,125,423,381,31,77,13,1,7,113,36,0,2,20,3,17,2,74,10,0.20199999999999999,0.297,0.23800000000000002
9,2015,埼玉西武,133,443,399,31,84,16,0,4,112,35,0,0,22,2,16,4,87,7,0.21100000000000002,0.281,0.247
10,2016,埼玉西武,117,326,294,19,64,10,1,1,79,22,0,1,19,0,13,0,48,12,0.218,0.26899999999999996,0.251
11,2017,埼玉西武,104,310,267,32,67,11,0,5,93,30,2,1,23,4,8,8,45,6,0.251,0.348,0.289
12,2018,埼玉西武,47,135,129,10,32,8,0,0,40,9,0,0,3,0,2,1,30,3,0.248,0.31,0.265
13,2019,読　売,58,138,126,17,33,4,0,6,55,26,0,0,2,1,7,2,28,4,0.262,0.43700000000000006,0.309
14,2020,読　売,56,114,100,4,18,2,0,1,23,7,0,0,3,1,8,2,23,3,0.18,0.23,0.252
15,nan,通　算,1283,3707,3308,255,704,123,6,38,953,304,8,10,201,22,150,26,707,85,0.213,0.28800000000000003,0.251
