,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2012,福岡ソフトバンク,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,4.2,7.0,0.0,8.0,0.0,1.0,0.0,0.0,7.0,5.0,9.64
1,2013,福岡ソフトバンク,51.0,1.0,4.0,1.0,17.0,18.0,0.0,0.0,0.0,0.2,232.0,56.1,32.0,1.0,26.0,1.0,85.0,10.0,1.0,16.0,15.0,2.4
2,2014,福岡ソフトバンク,19.0,1.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,0.5,90.0,22.2,17.0,0.0,5.0,1.0,28.0,1.0,0.0,5.0,5.0,1.99
3,2015,福岡ソフトバンク,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,85.0,22.1,9.0,0.0,10.0,0.0,21.0,0.0,0.0,2.0,1.0,0.4
4,2016,福岡ソフトバンク,25.0,12.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.8,681.0,169,125.0,16.0,53.0,6.0,181.0,7.0,1.0,52.0,49.0,2.61
5,2017,福岡ソフトバンク,22.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.765,572.0,143,107.0,15.0,46.0,2.0,151.0,6.0,0.0,47.0,42.0,2.64
6,2018,福岡ソフトバンク,22.0,13.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,0.65,584.0,141,116.0,21.0,58.0,5.0,163.0,5.0,0.0,57.0,55.0,3.51
7,2019,福岡ソフトバンク,26.0,13.0,8.0,0.0,0.0,0.0,2.0,2.0,0.0,0.619,752.0,180.1,134.0,19.0,75.0,8.0,227.0,4.0,1.0,60.0,56.0,2.79
8,2020,福岡ソフトバンク,18.0,11.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.647,503.0,121,90.0,4.0,57.0,2.0,149.0,5.0,0.0,37.0,29.0,2.16
9,nan,通　算,189.0,66.0,35.0,1.0,20.0,22.0,7.0,3.0,1.0,0.653,3528.0,860.1,637.0,76.0,338.0,25.0,1006.0,38.0,3.0,283.0,257.0,2.69
