,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2012,福岡ソフトバンク,11.0,8.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.889,262.0,67,40.0,1.0,26.0,1.0,67.0,0.0,0.0,9.0,8.0,1.07
1,2013,福岡ソフトバンク,17.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,415.0,93,79.0,3.0,68.0,6.0,56.0,4.0,0.0,38.0,36.0,3.48
2,2014,福岡ソフトバンク,7.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,185.0,43.1,36.0,1.0,22.0,2.0,43.0,0.0,1.0,15.0,9.0,1.87
3,2015,福岡ソフトバンク,25.0,13.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.684,684.0,164.2,142.0,14.0,59.0,2.0,163.0,6.0,3.0,60.0,58.0,3.17
4,2016,福岡ソフトバンク,27.0,14.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,0.636,769.0,183,163.0,12.0,70.0,5.0,144.0,7.0,1.0,71.0,60.0,2.95
5,2017,福岡ソフトバンク,13.0,6.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6,316.0,71,68.0,10.0,33.0,5.0,60.0,1.0,0.0,35.0,29.0,3.68
6,2018,福岡ソフトバンク,27.0,4.0,9.0,1.0,0.0,1.0,3.0,3.0,0.0,0.308,522.0,124.2,123.0,11.0,37.0,1.0,87.0,1.0,0.0,67.0,62.0,4.48
7,2019,福岡ソフトバンク,32.0,5.0,3.0,1.0,9.0,10.0,0.0,0.0,0.0,0.625,361.0,83,78.0,6.0,40.0,4.0,70.0,2.0,0.0,48.0,42.0,4.55
8,2020,福岡ソフトバンク,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,121.0,25,34.0,7.0,14.0,1.0,23.0,2.0,0.0,19.0,18.0,6.48
9,nan,通　算,166.0,59.0,40.0,2.0,9.0,11.0,8.0,7.0,1.0,0.596,3635.0,854.2,763.0,65.0,369.0,27.0,713.0,23.0,5.0,362.0,322.0,3.39
