,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2014,福岡ソフトバンク,58.0,4.0,1.0,0.0,20.0,24.0,0.0,0.0,0.0,0.8,247.0,65.2,47.0,1.0,15.0,1.0,54.0,0.0,0.0,17.0,17.0,2.33
1,2015,福岡ソフトバンク,55.0,5.0,2.0,0.0,16.0,21.0,0.0,0.0,0.0,0.7140000000000001,234.0,60.1,46.0,3.0,10.0,1.0,66.0,2.0,0.0,18.0,18.0,2.69
2,2016,福岡ソフトバンク,56.0,4.0,3.0,1.0,14.0,18.0,0.0,0.0,0.0,0.5710000000000001,261.0,60.1,68.0,6.0,15.0,2.0,51.0,0.0,0.0,20.0,20.0,2.98
3,2017,福岡ソフトバンク,64.0,2.0,3.0,1.0,33.0,35.0,0.0,0.0,0.0,0.4,265.0,64.1,61.0,7.0,12.0,1.0,60.0,0.0,0.0,29.0,28.0,3.92
4,2018,福岡ソフトバンク,66.0,2.0,4.0,37.0,6.0,8.0,0.0,0.0,0.0,0.33299999999999996,252.0,61.1,51.0,7.0,19.0,2.0,61.0,0.0,0.0,20.0,19.0,2.79
5,2019,福岡ソフトバンク,54.0,2.0,3.0,35.0,7.0,9.0,0.0,0.0,0.0,0.4,213.0,53,40.0,5.0,13.0,2.0,59.0,1.0,0.0,13.0,13.0,2.21
6,2020,福岡ソフトバンク,52.0,1.0,1.0,32.0,6.0,7.0,0.0,0.0,0.0,0.5,205.0,51.1,39.0,4.0,13.0,2.0,40.0,0.0,0.0,14.0,13.0,2.28
7,2021,福岡ソフトバンク,30.0,1.0,3.0,15.0,0.0,1.0,0.0,0.0,0.0,0.25,118.0,29,20.0,6.0,10.0,0.0,26.0,0.0,0.0,13.0,13.0,4.03
8,2022,福岡ソフトバンク,29.0,2.0,4.0,6.0,3.0,5.0,0.0,0.0,0.0,0.33299999999999996,141.0,34.1,30.0,4.0,12.0,1.0,27.0,0.0,0.0,13.0,10.0,2.62
9,nan,通　算,464.0,23.0,24.0,127.0,105.0,128.0,0.0,0.0,0.0,0.489,1936.0,479.2,402.0,43.0,119.0,12.0,444.0,3.0,0.0,157.0,151.0,2.83
