,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2011,福岡ソフトバンク,33,52,48,6,8,1,0,0,9,2,4,0,4,0,0,0,11,0,0.16699999999999998,0.188,0.16699999999999998
1,2012,福岡ソフトバンク,39,63,57,6,13,2,0,0,15,3,2,2,2,1,3,0,5,0,0.228,0.263,0.262
2,2013,福岡ソフトバンク,109,492,427,77,131,22,2,5,172,44,7,9,2,2,54,7,59,12,0.307,0.40299999999999997,0.392
3,2014,福岡ソフトバンク,143,638,571,75,176,22,4,4,218,61,10,2,3,2,59,3,61,4,0.308,0.382,0.375
4,2015,福岡ソフトバンク,135,590,506,58,152,22,0,1,177,39,7,4,9,3,66,6,47,7,0.3,0.35,0.386
5,2016,福岡ソフトバンク,143,612,488,69,140,21,1,7,184,50,6,5,9,4,99,12,53,8,0.287,0.377,0.41600000000000004
6,2017,福岡ソフトバンク,143,600,511,66,138,19,2,6,179,42,3,5,14,5,67,3,57,5,0.27,0.35,0.355
7,2018,福岡ソフトバンク,136,580,506,57,148,28,1,14,220,57,1,1,3,6,60,5,68,5,0.292,0.435,0.369
8,2019,福岡ソフトバンク,44,159,139,10,34,3,1,3,48,11,0,0,3,1,15,1,13,0,0.245,0.345,0.321
9,2020,福岡ソフトバンク,100,413,362,43,98,13,2,6,133,50,0,0,3,6,39,3,47,4,0.271,0.36700000000000005,0.341
10,2021,福岡ソフトバンク,139,552,462,49,113,20,2,8,161,56,1,1,11,6,70,3,59,8,0.245,0.348,0.344
11,nan,通　算,1164,4751,4077,516,1151,173,15,54,1516,415,41,29,63,36,532,43,480,53,0.282,0.37200000000000005,0.368
