,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2003,福岡ダイエー,26.0,14.0,5.0,0.0,,,8.0,2.0,0.0,0.737,781.0,189,165.0,26.0,61.0,1.0,195.0,1.0,0.0,77.0,71.0,3.38
1,2004,福岡ダイエー,19.0,10.0,6.0,0.0,,,7.0,0.0,0.0,0.625,534.0,128.1,110.0,23.0,38.0,3.0,115.0,2.0,0.0,67.0,62.0,4.35
2,2005,福岡ソフトバンク,25.0,12.0,8.0,0.0,0.0,0.0,4.0,0.0,1.0,0.6,741.0,181.2,154.0,17.0,57.0,2.0,167.0,4.0,0.0,69.0,66.0,3.27
3,2006,福岡ソフトバンク,24.0,14.0,6.0,0.0,0.0,0.0,6.0,3.0,3.0,0.7,657.0,163.1,137.0,18.0,42.0,1.0,136.0,2.0,0.0,57.0,54.0,2.98
4,2007,福岡ソフトバンク,26.0,12.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.545,757.0,182,168.0,15.0,42.0,5.0,169.0,6.0,1.0,65.0,57.0,2.82
5,2008,福岡ソフトバンク,23.0,8.0,8.0,0.0,0.0,0.0,3.0,0.0,2.0,0.5,671.0,162,167.0,12.0,36.0,3.0,123.0,3.0,0.0,65.0,65.0,3.61
6,2009,福岡ソフトバンク,15.0,4.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.444,337.0,84.1,72.0,13.0,24.0,1.0,87.0,1.0,0.0,39.0,38.0,4.06
7,2010,福岡ソフトバンク,26.0,17.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.68,696.0,169.1,145.0,11.0,55.0,1.0,169.0,2.0,0.0,59.0,59.0,3.14
8,2011,福岡ソフトバンク,26.0,16.0,5.0,0.0,0.0,0.0,4.0,2.0,2.0,0.762,726.0,184.2,145.0,7.0,40.0,4.0,168.0,5.0,0.0,33.0,31.0,1.51
9,2016,福岡ソフトバンク,24.0,15.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,0.75,662.0,163,138.0,22.0,38.0,5.0,157.0,0.0,0.0,58.0,55.0,3.04
10,2017,福岡ソフトバンク,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,181.0,47,34.0,1.0,8.0,0.0,34.0,1.0,0.0,13.0,13.0,2.49
11,2019,福岡ソフトバンク,12.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,240.0,57.2,56.0,11.0,14.0,2.0,45.0,0.0,0.0,26.0,25.0,3.9
12,2020,福岡ソフトバンク,16.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.889,346.0,85.2,66.0,7.0,31.0,1.0,75.0,1.0,0.0,30.0,28.0,2.94
13,2021,福岡ソフトバンク,18.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.455,396.0,94.1,95.0,14.0,27.0,3.0,83.0,0.0,0.0,49.0,47.0,4.48
14,nan,通　算,288.0,143.0,77.0,0.0,0.0,0.0,38.0,9.0,9.0,0.65,7725.0,1892.1,1652.0,197.0,513.0,32.0,1723.0,28.0,1.0,707.0,671.0,3.19
